date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1994-08-10,4.2722003453,4.3191476019,4.0374640626,4.1313585757,8654400,22.75,0.0,23.0,21.5,22.0,1.0,2163600
1994-08-11,3.9905168061,4.2722003453,3.9435695495,4.2722003453,1704400,21.25,0.0,22.75,21.0,22.75,1.0,426100
1994-08-12,4.0844113192,4.0844113192,3.9905168061,3.9905168061,276800,21.75,0.0,21.75,21.25,21.25,1.0,69200
1994-08-15,4.0374640626,4.0844113192,3.8722097196,4.0844113192,242000,21.5,0.0,21.75,20.62,21.75,1.0,60500
1994-08-16,3.9905168061,4.2214973083,3.9867610256,4.0844113192,382400,21.25,0.0,22.48,21.23,21.75,1.0,95600
1994-08-17,4.0844113192,4.0844113192,3.9905168061,4.0844113192,299200,21.75,0.0,21.75,21.25,21.75,1.0,74800
1994-08-18,4.0844113192,4.0844113192,3.9905168061,4.0844113192,359600,21.75,0.0,21.75,21.25,21.75,1.0,89900
1994-08-19,4.0844113192,4.0844113192,3.9905168061,3.9905168061,259600,21.75,0.0,21.75,21.25,21.25,1.0,64900
1994-08-22,4.0374640626,4.0844113192,3.9435695495,4.0844113192,400400,21.5,0.0,21.75,21.0,21.75,1.0,100100
1994-08-23,4.0374640626,4.0374640626,3.9435695495,4.0374640626,252800,21.5,0.0,21.5,21.0,21.5,1.0,63200
1994-08-24,4.2252530888,4.2252530888,3.9905168061,4.0844113192,505200,22.5,0.0,22.5,21.25,21.75,1.0,126300
1994-08-25,4.2252530888,4.2252530888,4.1313585757,4.2252530888,242000,22.5,0.0,22.5,22.0,22.5,1.0,60500
1994-08-26,4.7059929958,4.8355674238,4.1783058323,4.2252530888,1368400,25.06,0.0,25.75,22.25,22.5,1.0,342100
1994-08-29,5.1641982196,5.2111454762,4.6947256542,4.7416729108,1600000,27.5,0.0,27.75,25.0,25.25,1.0,400000
1994-08-30,5.3519872458,5.4458817589,5.1172509631,5.2111454762,1066800,28.5,0.0,29.0,27.25,27.75,1.0,266700
1994-08-31,5.1172509631,5.3519872458,4.9764091935,5.3519872458,676400,27.25,0.0,28.5,26.5,28.5,1.0,169100
1994-09-01,5.0703037066,5.0703037066,4.9764091935,5.02335645,308000,27.0,0.0,27.0,26.5,26.75,1.0,77000
1994-09-02,5.0703037066,5.0703037066,4.9764091935,5.0703037066,236800,27.0,0.0,27.0,26.5,27.0,1.0,59200
1994-09-06,5.0703037066,5.0703037066,4.9764091935,4.9764091935,215200,27.0,0.0,27.0,26.5,26.5,1.0,53800
1994-09-07,5.1641982196,5.3050399893,5.1641982196,5.2111454762,320400,27.5,0.0,28.25,27.5,27.75,1.0,80100
1994-09-08,5.2580927327,5.3989345023,5.1641982196,5.2580927327,309200,28.0,0.0,28.75,27.5,28.0,1.0,77300
1994-09-09,5.3989345023,5.3989345023,5.2543369522,5.3989345023,237600,28.75,0.0,28.75,27.98,28.75,1.0,59400
1994-09-12,5.2111454762,5.3989345023,5.2111454762,5.3050399893,330400,27.75,0.0,28.75,27.75,28.25,1.0,82600
1994-09-13,5.3050399893,5.3989345023,5.2111454762,5.2580927327,281600,28.25,0.0,28.75,27.75,28.0,1.0,70400
1994-09-14,5.5867235285,5.5867235285,5.2580927327,5.3989345023,308000,29.75,0.0,29.75,28.0,28.75,1.0,77000
1994-09-15,5.6806180416,5.6806180416,5.4458817589,5.5867235285,338400,30.25,0.0,30.25,29.0,29.75,1.0,84600
1994-09-16,5.6562054682,5.7745125547,5.539776272,5.6336707851,230400,30.12,0.0,30.75,29.5,30.0,1.0,57600
1994-09-19,5.6806180416,5.7275652981,5.5867235285,5.6806180416,344000,30.25,0.0,30.5,29.75,30.25,1.0,86000
1994-09-20,5.539776272,5.6336707851,5.539776272,5.6336707851,509600,29.5,0.0,30.0,29.5,30.0,1.0,127400
1994-09-21,5.6336707851,5.7275652981,5.539776272,5.539776272,264000,30.0,0.0,30.5,29.5,29.5,1.0,66000
1994-09-22,5.7745125547,5.7745125547,5.6336707851,5.7275652981,200000,30.75,0.0,30.75,30.0,30.5,1.0,50000
1994-09-23,6.150090607,6.1970378636,5.7275652981,5.8214598112,419600,32.75,0.0,33.0,30.5,31.0,1.0,104900
1994-09-26,6.5256686594,6.5726159159,6.2439851201,6.2909323766,348000,34.75,0.0,35.0,33.25,33.5,1.0,87000
1994-09-27,6.5500812328,6.6195631724,6.3848268897,6.6195631724,644400,34.88,0.0,35.25,34.0,35.25,1.0,161100
1994-09-28,6.5256686594,6.5726159159,6.4317741463,6.5726159159,586800,34.75,0.0,35.0,34.25,35.0,1.0,146700
