date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2006-11-13,2.0972660844,2.1779301646,2.0166020042,2.0273572149,1856710,7.8,0.0,8.1,7.5,7.54,1.0,767236
2006-11-14,2.083822071,2.1107100978,2.0273572149,2.1107100978,284410,7.75,0.0,7.85,7.54,7.85,1.0,117525
2006-11-15,2.1510421378,2.5731841574,2.083822071,2.5731841574,1202877,8.0,0.0,9.57,7.75,9.57,1.0,497057
2006-11-16,2.1107100978,2.1510421378,2.083822071,2.1510421378,1074716,7.85,0.0,8.0,7.75,8.0,1.0,444098
2006-11-17,2.1107100978,2.1107100978,2.0972660844,2.0972660844,6291,7.85,0.0,7.85,7.8,7.8,1.0,2600
2006-11-20,2.0510186784,2.1107100978,2.0166020042,2.1107100978,321271,7.628,0.0,7.85,7.5,7.85,1.0,132757
2006-11-21,2.0569340443,2.1107100978,2.043490031,2.0569340443,2002486,7.65,0.0,7.85,7.6,7.65,1.0,827474
2006-11-22,2.0972660844,2.1510421378,2.0703780577,2.1510421378,38139,7.8,0.0,8.0,7.7,8.0,1.0,15760
2006-11-24,2.0972660844,2.0972660844,2.0972660844,2.0972660844,5686,7.8,0.0,7.8,7.8,7.8,1.0,2350
2006-11-27,2.0972660844,2.0972660844,2.0972660844,2.0972660844,0,7.8,0.0,7.8,7.8,7.8,1.0,0
2006-11-28,2.0703780577,2.0972660844,2.0703780577,2.0730668604,35399,7.7,0.0,7.8,7.7,7.71,1.0,14628
2006-11-29,2.0703780577,2.083822071,2.0703780577,2.083822071,219399,7.7,0.0,7.75,7.7,7.75,1.0,90661
2006-11-30,2.0972660844,2.1107100978,2.0703780577,2.1107100978,724000,7.8,0.0,7.85,7.7,7.85,1.0,299174
2006-12-01,2.1510421378,2.1510421378,2.1107100978,2.1107100978,5800,8.0,0.0,8.0,7.85,7.85,1.0,2397
2006-12-04,2.0891996764,2.0891996764,2.0865108737,2.0865108737,399,7.77,0.0,7.77,7.76,7.76,1.0,165
2006-12-05,2.2048181913,2.2451502314,2.1107100978,2.1107100978,141199,8.2,0.0,8.35,7.85,7.85,1.0,58347
2006-12-06,2.1510690259,2.1510690259,2.1510690259,2.1510690259,999,8.0001,0.0,8.0001,8.0001,8.0001,1.0,413
2006-12-07,2.2182622047,2.2451502314,2.2182622047,2.2451502314,762200,8.25,0.0,8.35,8.25,8.35,1.0,314959
2006-12-08,2.2585942447,2.2585942447,2.2182622047,2.2182622047,6200,8.4,0.0,8.4,8.25,8.25,1.0,2562
2006-12-11,2.2585942447,2.2585942447,2.2532166394,2.2585942447,48799,8.4,0.0,8.4,8.38,8.4,1.0,20165
2006-12-12,2.2585942447,2.2585942447,2.2585942447,2.2585942447,999,8.4,0.0,8.4,8.4,8.4,1.0,413
2006-12-13,2.2585942447,2.3123702982,2.2370838234,2.2585942447,557400,8.4,0.0,8.6,8.32,8.4,1.0,230331
2006-12-14,2.3688351543,2.4199224051,2.3392583249,2.3392583249,3205799,8.81,0.0,9.0,8.7,8.7,1.0,1324711
2006-12-15,2.3258143115,2.3742127596,2.2854822715,2.3688351543,3930200,8.65,0.0,8.83,8.5,8.81,1.0,1624050
2006-12-18,2.207506994,2.3258143115,2.2021293886,2.3258143115,559999,8.21,0.0,8.65,8.19,8.65,1.0,231405
2006-12-19,2.2801046661,2.3043038902,2.1644861512,2.207506994,127800,8.48,0.0,8.57,8.05,8.21,1.0,52810
2006-12-20,2.2881710741,2.3258143115,2.1913741779,2.1913741779,288800,8.51,0.0,8.65,8.15,8.15,1.0,119339
2006-12-21,2.2935486795,2.3096814955,2.22363981,2.22363981,126398,8.53,0.0,8.59,8.27,8.27,1.0,52231
2006-12-22,2.2666606528,2.3150591009,2.2209510073,2.2989262848,68999,8.43,0.0,8.61,8.26,8.55,1.0,28512
2006-12-26,2.2559054421,2.3258143115,2.2263286127,2.2720382581,73401,8.39,0.0,8.65,8.28,8.45,1.0,30331
2006-12-27,2.3258143115,2.3258143115,2.2774158634,2.2774158634,84600,8.65,0.0,8.65,8.47,8.47,1.0,34959
2006-12-28,2.3016150875,2.3312611835,2.2935297886,2.3312611835,122200,8.54,0.02,8.65,8.51,8.65,1.0,50496
2006-12-29,2.3043101871,2.3339562831,2.2531032941,2.3177856853,238599,8.55,0.0,8.66,8.36,8.6,1.0,98595
2007-01-03,2.2935297886,2.3447366816,2.2935297886,2.3312611835,1312399,8.51,0.0,8.7,8.51,8.65,1.0,542314
2007-01-04,2.3528219805,2.3582121798,2.2396277959,2.3043101871,318600,8.73,0.0,8.75,8.31,8.55,1.0,131653
2007-01-05,2.290834689,2.3582121798,2.290834689,2.3339562831,167401,8.5,0.0,8.75,8.5,8.66,1.0,69174
2007-01-08,2.2746640912,2.3177856853,2.2638836926,2.3043101871,217799,8.44,0.0,8.6,8.4,8.55,1.0,90000
2007-01-09,2.290834689,2.3043101871,2.2746640912,2.2746640912,2368000,8.5,0.0,8.55,8.44,8.44,1.0,978513
2007-01-10,2.3204807849,2.3204807849,2.2773591908,2.2881395893,45399,8.61,0.0,8.61,8.45,8.49,1.0,18760
2007-01-11,2.3231758846,2.3339562831,2.3177856853,2.3312611835,221800,8.62,0.0,8.66,8.6,8.65,1.0,91653
2007-01-12,2.3097003864,2.3312611835,2.290834689,2.3016150875,102198,8.57,0.0,8.65,8.5,8.54,1.0,42231
2007-01-16,2.3043101871,2.3312611835,2.2773591908,2.3312611835,100800,8.55,0.0,8.65,8.45,8.65,1.0,41653
2007-01-17,2.290834689,2.312395486,2.2773591908,2.2935297886,92001,8.5,0.0,8.58,8.45,8.51,1.0,38017
2007-01-18,2.3150905857,2.3541156284,2.2773591908,2.2827493901,145199,8.59,0.0,8.7348,8.45,8.47,1.0,60000
2007-01-19,2.3312611835,2.3447366816,2.2638836926,2.3177856853,344999,8.65,0.0,8.7,8.4,8.6,1.0,142562
2007-01-22,2.290834689,2.3312611835,2.290834689,2.312395486,102799,8.5,0.0,8.65,8.5,8.58,1.0,42479
2007-01-23,2.3177856853,2.3312611835,2.2773591908,2.3285660838,160799,8.6,0.0,8.65,8.45,8.64,1.0,66446
2007-01-24,2.312395486,2.3312611835,2.2800542904,2.3258709842,95200,8.58,0.0,8.65,8.46,8.63,1.0,39339
2007-01-25,2.312395486,2.3312611835,2.290834689,2.3177856853,67000,8.58,0.0,8.65,8.5,8.6,1.0,27686
2007-01-26,2.2935297886,2.3689925783,2.2773591908,2.3231758846,174600,8.51,0.0,8.79,8.45,8.62,1.0,72149
2007-01-29,2.3770778773,2.533393656,2.290834689,2.290834689,487799,8.82,0.0,9.4,8.5,8.5,1.0,201570
2007-01-30,2.482186763,2.4929671615,2.3797729769,2.3986386743,171200,9.21,0.0,9.25,8.83,8.9,1.0,70744
2007-01-31,2.511832859,2.5360887557,2.4255896707,2.4255896707,77800,9.32,0.0,9.41,9.0,9.0,1.0,32149
2007-02-01,2.5738201505,2.5899907483,2.482186763,2.5253083571,336200,9.55,0.0,9.61,9.21,9.37,1.0,138926
2007-02-02,2.6304172429,2.643892741,2.5765152502,2.5872956487,232399,9.76,0.0,9.81,9.56,9.6,1.0,96033
2007-02-05,2.622331944,2.6870143352,2.6115515454,2.6681486377,540799,9.73,0.0,9.97,9.69,9.9,1.0,223471
2007-02-06,2.563039752,2.6492829403,2.5576495527,2.6492829403,238398,9.51,0.0,9.83,9.49,9.83,1.0,98512
2007-02-07,2.622331944,2.6411976414,2.5549544531,2.5846005491,668200,9.73,0.0,9.8,9.48,9.59,1.0,276116
2007-02-08,2.6196368443,2.643892741,2.592685848,2.622331944,294799,9.72,0.0,9.81,9.62,9.73,1.0,121818
2007-02-09,2.6950996341,2.7732575235,2.622331944,2.6358074421,783198,10.0,0.0,10.29,9.73,9.78,1.0,323636
2007-02-12,2.5765152502,2.7301359293,2.5684299513,2.6950996341,180800,9.56,0.0,10.13,9.53,10.0,1.0,74711
2007-02-13,2.6411976414,2.7258237699,2.5647376648,2.5765152502,115600,9.8,0.0,10.114,9.5163,9.56,1.0,47769
2007-02-14,2.6977947337,2.7354183246,2.6385025418,2.6385025418,1353800,10.01,0.0,10.1496,9.79,9.79,1.0,559422
2007-02-15,2.7463065271,2.7759526231,2.7004898333,2.7139653315,1102801,10.19,0.0,10.3,10.02,10.07,1.0,455703
