date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2013-12-18,45.3967241176,45.6150650752,45.360333958,45.6150650752,12200,49.9,0.0,50.14,49.86,50.14,1.0,12200
2013-12-19,45.4331142772,45.4331142772,45.3512364181,45.3512364181,50,49.94,0.0,49.94,49.85,49.85,1.0,50
2013-12-20,45.5240896762,45.5240896762,45.5240896762,45.5240896762,0,50.04,0.0,50.04,50.04,50.04,1.0,0
2013-12-23,45.3057487185,45.3057487185,45.3057487185,45.3057487185,2357,49.8,0.0,49.8,49.8,49.8,1.0,2357
2013-12-24,45.4649556668,45.4649556668,45.4649556668,45.4649556668,20,49.95,0.025,49.95,49.95,49.95,1.0,20
2013-12-26,45.3284242684,45.3284242684,45.3284242684,45.3284242684,0,49.8,0.0,49.8,49.8,49.8,1.0,0
2013-12-27,45.3284242684,45.3284242684,45.3284242684,45.3284242684,0,49.8,0.0,49.8,49.8,49.8,1.0,0
2013-12-30,45.4194452007,45.4194452007,45.4194452007,45.4194452007,200,49.9,0.0,49.9,49.9,49.9,1.0,200
2013-12-31,45.6652017178,45.6652017178,45.6652017178,45.6652017178,400,50.17,0.0,50.17,50.17,50.17,1.0,400
2014-01-02,45.6652017178,45.6652017178,45.6652017178,45.6652017178,0,50.17,0.0,50.17,50.17,50.17,1.0,0
2014-01-03,45.6652017178,45.6652017178,45.6652017178,45.6652017178,0,50.17,0.0,50.17,50.17,50.17,1.0,0
2014-01-06,45.6652017178,45.6652017178,45.6652017178,45.6652017178,0,50.17,0.0,50.17,50.17,50.17,1.0,0
2014-01-07,45.6652017178,45.6652017178,45.6652017178,45.6652017178,0,50.17,0.0,50.17,50.17,50.17,1.0,0
2014-01-08,45.6652017178,45.6652017178,45.6652017178,45.6652017178,200,50.17,0.0,50.17,50.17,50.17,1.0,200
2014-01-09,45.4194452007,45.4194452007,45.4194452007,45.4194452007,1470,49.9,0.0,49.9,49.9,49.9,1.0,1470
2014-01-10,45.1463824039,45.2374033362,45.1463824039,45.228301243,4265,49.6,0.0,49.7,49.6,49.69,1.0,4265
2014-01-13,45.1643135276,45.1643135276,45.1643135276,45.1643135276,200,49.6197,0.0,49.6197,49.6197,49.6197,1.0,200
2014-01-14,45.1645865904,45.1645865904,45.1645865904,45.1645865904,0,49.62,0.0,49.62,49.62,49.62,1.0,0
2014-01-15,45.1645865904,45.1645865904,45.1645865904,45.1645865904,0,49.62,0.0,49.62,49.62,49.62,1.0,0
2014-01-16,45.1008719378,45.1008719378,45.1008719378,45.1008719378,7000,49.55,0.0,49.55,49.55,49.55,1.0,7000
2014-01-17,45.1463824039,45.1463824039,45.1463824039,45.1463824039,15,49.6,0.0,49.6,49.6,49.6,1.0,15
2014-01-21,45.1008719378,45.1008719378,45.1008719378,45.1008719378,0,49.55,0.0,49.55,49.55,49.55,1.0,0
2014-01-22,44.9643405394,44.9916468191,44.9643405394,44.9916468191,4000,49.4,0.0,49.43,49.4,49.43,1.0,4000
2014-01-23,44.6912777426,44.9188300732,44.6912777426,44.9188300732,10500,49.1,0.0,49.35,49.1,49.35,1.0,10500
2014-01-24,44.6912777426,44.6912777426,44.6912777426,44.6912777426,1000,49.1,0.0,49.1,49.1,49.1,1.0,1000
2014-01-27,44.6503183231,44.7779427527,44.6503183231,44.7779427527,5300,48.98,0.075,49.12,48.98,49.12,1.0,5300
2014-01-28,44.6503183231,44.6503183231,44.6503183231,44.6503183231,0,48.98,0.0,48.98,48.98,48.98,1.0,0
2014-01-29,44.4771137399,44.6867824458,44.4771137399,44.6867824458,420,48.79,0.0,49.02,48.79,49.02,1.0,420
2014-01-30,44.622970231,44.7413874697,44.4406496172,44.4406496172,761,48.95,0.0,49.0799,48.75,48.75,1.0,761
2014-01-31,44.4406496172,44.4406496172,44.4406496172,44.4406496172,511,48.75,0.0,48.75,48.75,48.75,1.0,511
2014-02-03,44.2765610647,44.2765610647,44.2765610647,44.2765610647,500,48.57,0.0,48.57,48.57,48.57,1.0,500
2014-02-04,44.4133015251,44.4133015251,44.4133015251,44.4133015251,500,48.72,0.0,48.72,48.72,48.72,1.0,500
2014-02-05,44.4862297706,44.4953458013,44.3312572489,44.3312572489,700,48.8,0.0,48.81,48.63,48.63,1.0,700
2014-02-06,44.4862297706,44.7505035004,44.4862297706,44.7505035004,5700,48.8,0.0,49.0899,48.8,49.0899,1.0,5700
2014-02-07,44.4862297706,44.4862297706,44.4862297706,44.4862297706,0,48.8,0.0,48.8,48.8,48.8,1.0,0
2014-02-10,44.4862297706,44.4862297706,44.4862297706,44.4862297706,0,48.8,0.0,48.8,48.8,48.8,1.0,0
2014-02-11,44.7597106914,44.7597106914,44.748315653,44.759619531,912,49.1,0.0,49.1,49.0875,49.0999,1.0,912
2014-02-12,44.7597106914,44.7597106914,44.7597106914,44.7597106914,0,49.1,0.0,49.1,49.1,49.1,1.0,0
2014-02-13,44.5773900775,44.5773900775,44.5773900775,44.5773900775,100,48.9,0.0,48.9,48.9,48.9,1.0,100
2014-02-14,44.5773900775,44.5773900775,44.5773900775,44.5773900775,0,48.9,0.0,48.9,48.9,48.9,1.0,0
