date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1992-01-14,16.1521720536,16.8544404037,15.4499037034,16.8544404037,268050,8.625,0.0,9.0,8.25,9.0,1.0,536100
1992-01-15,17.7907982039,17.7907982039,15.9180826035,16.8544404037,192150,9.5,0.0,9.5,8.5,9.0,1.0,384300
1992-01-16,16.8544404037,17.7907982039,15.9180826035,17.7907982039,84600,9.0,0.0,9.5,8.5,9.5,1.0,169200
1992-01-17,16.1521720536,16.8544404037,16.1521720536,16.8544404037,14500,8.625,0.0,9.0,8.625,9.0,1.0,29000
1992-01-20,16.1521720536,16.8544404037,16.1521720536,16.1521720536,30650,8.625,0.0,9.0,8.625,8.625,1.0,61300
1992-01-21,15.4499037034,16.6203509537,15.4499037034,16.3862615036,48100,8.25,0.0,8.875,8.25,8.75,1.0,96200
1992-01-22,16.1521720536,16.3862615036,15.4499037034,15.9180826035,36300,8.625,0.0,8.75,8.25,8.5,1.0,72600
1992-01-23,15.9180826035,16.1521720536,15.4499037034,16.1521720536,34950,8.5,0.0,8.625,8.25,8.625,1.0,69900
1992-01-24,16.1521720536,16.1521720536,15.6839931535,15.6839931535,31950,8.625,0.0,8.625,8.375,8.375,1.0,63900
1992-01-27,15.9180826035,16.1521720536,15.4499037034,15.6839931535,66550,8.5,0.0,8.625,8.25,8.375,1.0,133100
1992-01-28,15.9180826035,16.1521720536,15.6839931535,15.6839931535,24850,8.5,0.0,8.625,8.375,8.375,1.0,49700
1992-01-29,15.9180826035,16.1521720536,15.6839931535,15.6839931535,43300,8.5,0.0,8.625,8.375,8.375,1.0,86600
1992-01-30,16.1521720536,16.1521720536,15.6839931535,15.6839931535,65850,8.625,0.0,8.625,8.375,8.375,1.0,131700
1992-01-31,16.3862615036,16.6203509537,15.6839931535,16.1521720536,28550,8.75,0.0,8.875,8.375,8.625,1.0,57100
1992-02-03,16.6203509537,16.6203509537,15.6839931535,15.6839931535,43600,8.875,0.0,8.875,8.375,8.375,1.0,87200
1992-02-04,16.8544404037,16.8544404037,15.4499037034,16.6203509537,34000,9.0,0.0,9.0,8.25,8.875,1.0,68000
1992-02-05,17.0885298538,17.3226193038,15.9180826035,16.8544404037,39500,9.125,0.0,9.25,8.5,9.0,1.0,79000
1992-02-06,18.258977104,19.1953349042,16.8544404037,17.3226193038,98050,9.75,0.0,10.25,9.0,9.25,1.0,196100
1992-02-07,19.1953349042,20.1316927044,18.4930665541,19.1953349042,59700,10.25,0.0,10.75,9.875,10.25,1.0,119400
1992-02-10,20.5998716046,20.8433246326,18.9706090322,19.1953349042,88200,11.0,0.0,11.13,10.13,10.25,1.0,176400
1992-02-11,22.0044083049,23.4089450052,19.9069668324,20.5998716046,414650,11.75,0.0,12.5,10.63,11.0,1.0,829300
