date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2012-07-10,9.3874512984,9.6687934952,9.2842924929,9.6125250558,1052280,10.01,0.0,10.31,9.9,10.25,1.0,1052280
2012-07-11,9.3779794444,9.4718539574,9.2842924929,9.4718539574,153625,9.9999,0.0,10.1,9.9,10.1,1.0,153625
2012-07-12,9.453097811,9.5187443236,9.331182859,9.3780732252,88900,10.08,0.0,10.15,9.95,10.0,1.0,88900
2012-07-13,9.5281223968,9.5656346897,9.3593170787,9.443625957,47700,10.16,0.0,10.2,9.98,10.0699,1.0,47700
2012-07-16,9.4437197377,9.4624758842,9.3874512984,9.3968293716,54605,10.07,0.0,10.09,10.01,10.02,1.0,54605
2012-07-17,9.4155855181,9.4624758842,9.3780732252,9.4624758842,72957,10.04,0.0,10.09,10.0,10.09,1.0,72957
2012-07-18,9.3968293716,9.3969231524,9.3780732252,9.3874512984,78621,10.02,0.0,10.0201,10.0,10.01,1.0,78621
2012-07-19,9.4624758842,9.4624758842,9.3902647204,9.3968293716,70483,10.09,0.0,10.09,10.013,10.02,1.0,70483
2012-07-20,9.3780732252,9.5187443236,9.3780732252,9.5178065162,52050,10.0,0.0,10.15,10.0,10.149,1.0,52050
2012-07-23,9.5281223968,9.5281223968,9.3780732252,9.3780732252,66740,10.16,0.0,10.16,10.0,10.0,1.0,66740
2012-07-24,9.5187443236,9.5281223968,9.4718539574,9.5187443236,19500,10.15,0.0,10.16,10.1,10.15,1.0,19500
2012-07-25,9.4718539574,9.5281223968,9.4718539574,9.5281223968,51736,10.1,0.0,10.16,10.1,10.16,1.0,51736
2012-07-26,9.5093662503,9.53750047,9.5092724696,9.5187443236,83413,10.14,0.0,10.17,10.1399,10.15,1.0,83413
2012-07-27,9.4906101039,9.5093662503,9.4718539574,9.5093662503,41025,10.12,0.0,10.14,10.1,10.14,1.0,41025
2012-07-30,9.4624758842,9.4906101039,9.4343416645,9.4717601767,27729,10.09,0.0,10.12,10.06,10.0999,1.0,27729
2012-07-31,9.4352794718,9.4906101039,9.4249635913,9.4249635913,46200,10.061,0.0,10.12,10.05,10.05,1.0,46200
2012-08-01,9.5657284704,9.5657284704,9.4343416645,9.4437197377,92987,10.2001,0.0,10.2001,10.06,10.07,1.0,92987
2012-08-02,9.5937689094,9.6125250558,9.5187443236,9.5187443236,69168,10.23,0.0,10.25,10.15,10.15,1.0,69168
2012-08-03,9.6312812023,9.6406592755,9.6303433949,9.6406592755,20500,10.27,0.0,10.28,10.269,10.28,1.0,20500
2012-08-06,9.6125250558,9.6406592755,9.5656346897,9.6406592755,11333,10.25,0.0,10.28,10.2,10.28,1.0,11333
2012-08-07,9.5750127629,9.6500373487,9.5656346897,9.6500373487,21990,10.21,0.0,10.29,10.2,10.29,1.0,21990
2012-08-08,9.6405654947,9.6406592755,9.5521302642,9.5656346897,50646,10.2799,0.0,10.28,10.1856,10.2,1.0,50646
2012-08-09,9.5750127629,9.6594154219,9.5656346897,9.5750127629,38885,10.21,0.0,10.3,10.2,10.21,1.0,38885
2012-08-10,9.6594154219,9.7063057881,9.5656346897,9.5657284704,25196,10.3,0.0,10.35,10.2,10.2001,1.0,25196
2012-08-13,9.6969277148,9.7063057881,9.6594154219,9.6594154219,3378,10.34,0.0,10.35,10.3,10.3,1.0,3378
2012-08-14,9.6969277148,9.7063057881,9.6594154219,9.7063057881,6000,10.34,0.0,10.35,10.3,10.35,1.0,6000
2012-08-15,9.6969277148,9.7063057881,9.6594154219,9.7063057881,6336,10.34,0.0,10.35,10.3,10.35,1.0,6336
2012-08-16,9.6969277148,9.6969277148,9.5881420654,9.5881420654,5500,10.34,0.0,10.34,10.224,10.224,1.0,5500
2012-08-17,9.6969277148,9.6969277148,9.6687934952,9.6969277148,1000,10.34,0.0,10.34,10.31,10.34,1.0,1000
2012-08-20,9.6969277148,9.6969277148,9.6969277148,9.6969277148,500,10.34,0.0,10.34,10.34,10.34,1.0,500
2012-08-21,9.82822074,9.82822074,9.6594154219,9.6875496416,34299,10.48,0.0,10.48,10.3,10.33,1.0,34299
2012-08-22,9.997026058,10.0992470562,9.912623399,9.940663838,19970,10.66,0.0,10.769,10.57,10.5999,1.0,19970
2012-08-23,9.82822074,10.0720506438,9.82822074,10.0720506438,3411,10.48,0.0,10.74,10.48,10.74,1.0,3411
2012-08-24,9.9594199844,9.9595137651,9.8469768864,9.8469768864,5500,10.6199,0.0,10.62,10.5,10.5,1.0,5500
2012-08-27,9.8751111061,9.9595137651,9.7907084471,9.9595137651,27705,10.53,0.0,10.62,10.44,10.62,1.0,27705
2012-08-28,9.9407576187,10.0345383509,9.9407576187,9.9595137651,20932,10.6,0.0,10.7,10.6,10.62,1.0,20932
2012-08-29,9.8938672526,9.9407576187,9.8938672526,9.9407576187,1100,10.55,0.0,10.6,10.55,10.6,1.0,1100
2012-08-30,10.0345383509,10.0345383509,9.8938672526,10.0157822045,8550,10.7,0.0,10.7,10.55,10.68,1.0,8550
2012-08-31,10.0064041313,10.1470752296,10.0064041313,10.0345383509,11687,10.67,0.0,10.82,10.67,10.7,1.0,11687
2012-09-04,10.0064041313,10.0064041313,9.8752048868,9.8752048868,14232,10.67,0.0,10.67,10.5301,10.5301,1.0,14232
2012-09-05,10.0626725706,10.0626725706,9.9619520642,9.9782699116,44984,10.73,0.0,10.73,10.6226,10.64,1.0,44984
2012-09-06,10.0439164242,10.0439164242,10.0064041313,10.0157822045,8856,10.71,0.0,10.71,10.67,10.68,1.0,8856
2012-09-07,10.0345383509,10.0532944974,9.9408513994,9.9408513994,800,10.7,0.0,10.72,10.6001,10.6001,1.0,800
2012-09-10,10.0345383509,10.0345383509,9.9313795455,10.0251602777,27138,10.7,0.0,10.7,10.59,10.69,1.0,27138
2012-09-11,10.0346321317,10.0346321317,9.9876479848,9.9876479848,9000,10.7001,0.0,10.7001,10.65,10.65,1.0,9000
2012-09-12,10.0345383509,10.0439164242,10.0345383509,10.0345383509,11100,10.7,0.0,10.71,10.7,10.7,1.0,11100
2012-09-13,10.0251602777,10.0345383509,9.997026058,10.0345383509,19958,10.69,0.0,10.7,10.66,10.7,1.0,19958
2012-09-14,10.0439164242,10.0626725706,10.0157822045,10.0626725706,20500,10.71,0.0,10.73,10.68,10.73,1.0,20500
2012-09-17,10.0064041313,10.1095629367,9.9407576187,9.9407576187,4900,10.67,0.0,10.78,10.6,10.6,1.0,4900
2012-09-18,10.1095629367,10.1095629367,9.8751111061,9.8751111061,5650,10.78,0.0,10.78,10.53,10.53,1.0,5650
2012-09-19,10.0626725706,10.0626725706,10.0439164242,10.0626725706,800,10.73,0.0,10.73,10.71,10.73,1.0,800
2012-09-20,10.1564533029,10.1564533029,10.0532944974,10.0532944974,6000,10.83,0.0,10.83,10.72,10.72,1.0,6000
2012-09-21,10.0626725706,10.2220998154,10.0626725706,10.1283190832,17011,10.73,0.0,10.9,10.73,10.8,1.0,17011
2012-09-24,10.2220998154,10.2220998154,10.1002786442,10.11894101,15402,10.9,0.0,10.9,10.7701,10.79,1.0,15402
2012-09-25,10.1845875225,10.1845875225,10.0908067903,10.1283190832,9350,10.86,0.0,10.86,10.76,10.8,1.0,9350
2012-09-26,10.0908067903,10.0908067903,10.0908067903,10.0908067903,782,10.76,0.0,10.76,10.76,10.76,1.0,782
2012-09-27,10.0908067903,10.0908067903,10.0908067903,10.0908067903,0,10.76,0.0,10.76,10.76,10.76,1.0,0
2012-09-28,10.0908067903,10.0908067903,10.0908067903,10.0908067903,0,10.76,0.0,10.76,10.76,10.76,1.0,0
2012-10-01,10.0064041313,10.0908067903,10.0064041313,10.0908067903,6800,10.67,0.0,10.76,10.67,10.76,1.0,6800
2012-10-02,10.0345383509,10.0346321317,10.0345383509,10.0346321317,700,10.7,0.0,10.7001,10.7,10.7001,1.0,700
2012-10-03,10.0908067903,10.0908067903,10.0908067903,10.0908067903,100,10.76,0.0,10.76,10.76,10.76,1.0,100
2012-10-04,10.0721444246,10.0908067903,10.0345383509,10.0439164242,3800,10.7401,0.0,10.76,10.7,10.71,1.0,3800
2012-10-05,10.0908067903,10.1191285714,10.0908067903,10.1096567175,9111,10.76,0.0,10.7902,10.76,10.7801,1.0,9111
