Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2007-01-11,99.92,100,99.92,100,1100,79.54591253,79.60960021,79.54591253,79.60960021,1100,0,1
2007-01-12,99.93,99.93,99.85,99.88,1500,79.55387349,79.55387349,79.49018581,79.51406869,1500,0,1
2007-01-16,99.83,99.83,99.83,99.83,600,79.47426389,79.47426389,79.47426389,79.47426389,600,0,1
2007-01-17,99.82,99.94,99.81,99.94,700,79.46630293,79.56183445,79.45834197,79.56183445,700,0,1
2007-01-18,99.91,99.91,99.84,99.84,6200,79.53795157,79.53795157,79.48222485,79.48222485,6200,0,1
2007-01-19,99.8,99.86,99.78,99.86,2000,79.45038101,79.49814677,79.43445909,79.49814677,2000,0,1
2007-01-22,99.85,99.9,99.85,99.9,1200,79.49018581,79.52999061,79.49018581,79.52999061,1200,0,1
2007-01-23,99.71,99.75,99.71,99.75,1200,79.37873237,79.41057621,79.37873237,79.41057621,1200,0,1
2007-01-24,99.75,99.75,99.75,99.75,1300,79.41057621,79.41057621,79.41057621,79.41057621,1300,0,1
2007-01-25,99.55,99.66,99.55,99.66,2100,79.25135701,79.33892757,79.25135701,79.33892757,2100,0,1
2007-01-26,99.56,99.56,99.48,99.53,1200,79.25931797,79.25931797,79.19563029,79.23543509,1200,0,1
2007-01-29,99.53,99.61,99.5,99.6,3100,79.23543509,79.29912277,79.21155221,79.29116181,3100,0,1
2007-01-30,99.58,99.61,99.58,99.61,400,79.27523989,79.29912277,79.27523989,79.29912277,400,0,1
2007-01-31,99.84,99.84,99.67,99.67,3600,79.48222485,79.48222485,79.34688853,79.34688853,3600,0,1
2007-02-01,99.53,99.74,99.52,99.74,1600,79.43173565,79.59932999,79.42375496,79.59932999,1600,0.246579,1
2007-02-02,99.58,99.66,99.55,99.55,6800,79.47163906,79.53548452,79.44769701,79.44769701,6800,0,1
2007-02-05,99.71,99.71,99.71,99.71,7100,79.57538794,79.57538794,79.57538794,79.57538794,7100,0,1
2007-02-06,99.88,99.88,99.67,99.67,6600,79.71105954,79.71105954,79.54346521,79.54346521,6600,0,1
2007-02-07,99.99,99.99,99.94,99.95,2200,79.79884705,79.79884705,79.75894364,79.76692432,2200,0,1
2007-02-08,100.03,100.03,99.95,99.97,7500,79.83076979,79.83076979,79.76692432,79.78288569,7500,0,1
2007-02-09,99.81,99.81,99.81,99.81,2000,79.65519476,79.65519476,79.65519476,79.65519476,2000,0,1
2007-02-12,99.73,99.86,99.71,99.8,5000,79.5913493,79.69509818,79.57538794,79.64721408,5000,0,1
