date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2010-12-21,12.75,14.25,12.75,13.5,435639,4.25,0.0,4.75,4.25,4.5,1.0,1306919
2010-12-22,12.75,13.1244,12.15,13.11,72255,4.25,0.0,4.3748,4.05,4.37,1.0,216766
2010-12-23,12.66,12.96,12.36,12.75,37450,4.22,0.0,4.32,4.12,4.25,1.0,112351
2010-12-27,12.87,13.2,12.66,12.87,26596,4.29,0.0,4.4,4.22,4.29,1.0,79791
2010-12-28,12.63,13.047,12.63,12.87,25049,4.21,0.0,4.349,4.21,4.29,1.0,75150
2010-12-29,14.7,16.17,12.78,13.065,206067,4.9,0.0,5.39,4.26,4.355,1.0,618203
2010-12-30,15.0,18.33,14.73,17.67,914050,5.0,0.0,6.11,4.91,5.89,1.0,2742151
2010-12-31,14.22,15.1503,14.1,14.73,126064,4.74,0.0,5.0501,4.7,4.91,1.0,378194
2011-01-03,14.94,15.75,14.43,14.55,211755,4.98,0.0,5.25,4.81,4.85,1.0,635266
2011-01-04,14.2203,15.6,13.95,15.6,117115,4.7401,0.0,5.2,4.65,5.2,1.0,351347
2011-01-05,13.95,15.15,13.68,13.95,80332,4.65,0.0,5.05,4.56,4.65,1.0,240998
2011-01-06,13.71,14.76,13.35,14.76,94150,4.57,0.0,4.92,4.45,4.92,1.0,282451
2011-01-07,13.65,14.01,13.44,14.01,30182,4.55,0.0,4.67,4.48,4.67,1.0,90547
2011-01-10,13.5,14.1,13.47,13.95,30286,4.5,0.0,4.7,4.49,4.65,1.0,90860
2011-01-11,13.68,13.86,13.47,13.53,23519,4.56,0.0,4.62,4.49,4.51,1.0,70558
2011-01-12,13.71,14.07,13.5303,13.8,24435,4.57,0.0,4.69,4.5101,4.6,1.0,73307
2011-01-13,13.14,14.04,13.08,14.04,37741,4.38,0.0,4.68,4.36,4.68,1.0,113226
2011-01-14,13.6221,13.71,12.9,13.1403,43992,4.5407,0.0,4.57,4.3,4.3801,1.0,131978
2011-01-18,13.65,13.86,13.2,13.2,16939,4.55,0.0,4.62,4.4,4.4,1.0,50820
2011-01-19,13.5303,13.65,12.6,13.65,72801,4.5101,0.0,4.55,4.2,4.55,1.0,218404
2011-01-20,13.53,13.53,13.05,13.44,56504,4.51,0.0,4.51,4.35,4.48,1.0,169513
2011-01-21,12.9,13.74,12.75,13.26,55782,4.3,0.0,4.58,4.25,4.42,1.0,167349
2011-01-24,12.75,13.149,12.6,12.96,27016,4.25,0.0,4.383,4.2,4.32,1.0,81051
2011-01-25,12.57,12.75,12.45,12.75,7352,4.19,0.0,4.25,4.15,4.25,1.0,22058
2011-01-26,12.75,12.87,12.45,12.477,8999,4.25,0.0,4.29,4.15,4.159,1.0,26998
2011-01-27,12.84,13.2,12.69,12.69,8093,4.28,0.0,4.4,4.23,4.23,1.0,24280
2011-01-28,12.75,13.05,12.3,13.05,15632,4.25,0.0,4.35,4.1,4.35,1.0,46899
2011-01-31,12.9,13.05,12.45,12.75,48092,4.3,0.0,4.35,4.15,4.25,1.0,144277
2011-02-01,13.4958,14.31,12.87,12.87,91537,4.4986,0.0,4.77,4.29,4.29,1.0,274612
2011-02-02,13.5,14.04,12.81,13.65,71046,4.5,0.0,4.68,4.27,4.55,1.0,213141
2011-02-03,13.47,13.68,13.2,13.56,39811,4.49,0.0,4.56,4.4,4.52,1.0,119436
2011-02-04,13.11,13.41,12.9,13.35,29093,4.37,0.0,4.47,4.3,4.45,1.0,87280
2011-02-07,13.2,13.71,12.9,13.44,20965,4.4,0.0,4.57,4.3,4.48,1.0,62897
2011-02-08,13.65,13.77,13.02,13.11,16399,4.55,0.0,4.59,4.34,4.37,1.0,49200
2011-02-09,13.5,13.74,13.2,13.5,11883,4.5,0.0,4.58,4.4,4.5,1.0,35650
2011-02-10,13.44,13.44,12.93,13.2,15524,4.48,0.0,4.48,4.31,4.4,1.0,46575
2011-02-11,13.08,13.5135,12.93,13.35,19848,4.36,0.0,4.5045,4.31,4.45,1.0,59545
2011-02-14,12.9,13.23,12.75,13.23,19087,4.3,0.0,4.41,4.25,4.41,1.0,57264
2011-02-15,13.0503,13.35,12.9,12.9,17613,4.3501,0.0,4.45,4.3,4.3,1.0,52841
2011-02-16,13.11,13.89,12.99,13.77,37291,4.37,0.0,4.63,4.33,4.59,1.0,111875
