date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1992-04-24,2.4002971869,2.4002971869,2.212038584,2.212038584,6297,25.5,0.0,25.5,23.5,23.5,1.0,1244
1992-04-27,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-04-28,2.2591032348,2.3061678855,2.2591032348,2.3061678855,1301,24.0,0.0,24.5,24.0,24.5,1.0,257
1992-04-29,2.2591032348,2.2591032348,2.2591032348,2.2591032348,0,24.0,0.0,24.0,24.0,24.0,1.0,0
1992-04-30,2.2591032348,2.2591032348,2.2591032348,2.2591032348,0,24.0,0.0,24.0,24.0,24.0,1.0,0
1992-05-01,2.3532325362,2.3532325362,2.3532325362,2.3532325362,15000,25.0,0.0,25.0,25.0,25.0,1.0,2963
1992-05-04,2.4002971869,2.4002971869,2.4002971869,2.4002971869,101,25.5,0.0,25.5,25.5,25.5,1.0,20
1992-05-05,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-05-06,2.3532325362,2.3532325362,2.3532325362,2.3532325362,4900,25.0,0.0,25.0,25.0,25.0,1.0,968
1992-05-07,2.3532325362,2.3532325362,2.3532325362,2.3532325362,0,25.0,0.0,25.0,25.0,25.0,1.0,0
1992-05-08,2.3532325362,2.3532325362,2.3532325362,2.3532325362,0,25.0,0.0,25.0,25.0,25.0,1.0,0
1992-05-11,2.3532325362,2.3532325362,2.3532325362,2.3532325362,0,25.0,0.0,25.0,25.0,25.0,1.0,0
1992-05-12,2.3532325362,2.3532325362,2.3532325362,2.3532325362,0,25.0,0.0,25.0,25.0,25.0,1.0,0
1992-05-13,2.2591032348,2.2591032348,2.2591032348,2.2591032348,1301,24.0,0.0,24.0,24.0,24.0,1.0,257
1992-05-14,2.4002971869,2.4002971869,2.4002971869,2.4002971869,101,25.5,0.0,25.5,25.5,25.5,1.0,20
1992-05-15,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-05-18,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-05-19,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-05-20,2.4002971869,2.4002971869,2.4002971869,2.4002971869,101,25.5,0.0,25.5,25.5,25.5,1.0,20
1992-05-21,2.4002971869,2.4002971869,2.4002971869,2.4002971869,101,25.5,0.0,25.5,25.5,25.5,1.0,20
1992-05-22,2.4002971869,2.4002971869,2.4002971869,2.4002971869,101,25.5,0.0,25.5,25.5,25.5,1.0,20
1992-05-26,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-05-27,2.3532325362,2.3532325362,2.3061678855,2.3061678855,3999,25.0,0.0,25.0,24.5,24.5,1.0,790
1992-05-28,2.4002971869,2.4002971869,2.3532325362,2.3532325362,15000,25.5,0.0,25.5,25.0,25.0,1.0,2963
1992-05-29,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-01,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-02,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-03,2.3767648616,2.3767648616,2.3061678855,2.3061678855,8100,25.25,0.0,25.25,24.5,24.5,1.0,1600
1992-06-04,2.3767648616,2.3767648616,2.3767648616,2.3767648616,0,25.25,0.0,25.25,25.25,25.25,1.0,0
1992-06-05,2.4002971869,2.4002971869,2.3061678855,2.4002971869,4201,25.5,0.0,25.5,24.5,25.5,1.0,830
1992-06-08,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-09,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-10,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-11,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-12,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-15,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-16,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-17,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-18,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-19,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-22,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-23,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-24,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-25,2.4002971869,2.4002971869,2.4002971869,2.4002971869,0,25.5,0.0,25.5,25.5,25.5,1.0,0
1992-06-26,2.470894163,2.470894163,2.3532325362,2.3532325362,3300,26.25,0.0,26.25,25.0,25.0,1.0,652
1992-06-29,2.470894163,2.470894163,2.470894163,2.470894163,0,26.25,0.0,26.25,26.25,26.25,1.0,0
1992-06-30,2.470894163,2.470894163,2.470894163,2.470894163,0,26.25,0.0,26.25,26.25,26.25,1.0,0
1992-07-01,2.470894163,2.470894163,2.470894163,2.470894163,0,26.25,0.0,26.25,26.25,26.25,1.0,0
1992-07-02,2.4473618377,2.4473618377,2.4473618377,2.4473618377,9998,26.0,0.0,26.0,26.0,26.0,1.0,1975
1992-07-06,2.4473618377,2.4473618377,2.4473618377,2.4473618377,0,26.0,0.0,26.0,26.0,26.0,1.0,0
1992-07-07,2.4473618377,2.4473618377,2.4473618377,2.4473618377,0,26.0,0.0,26.0,26.0,26.0,1.0,0
1992-07-08,2.470894163,2.5414911391,2.470894163,2.5414911391,3300,26.25,0.0,27.0,26.25,27.0,1.0,652
1992-07-09,2.4944264884,2.4944264884,2.470894163,2.470894163,2202,26.5,0.0,26.5,26.25,26.25,1.0,435
1992-07-10,2.6356204406,2.6356204406,2.5527866553,2.5527866553,3999,28.0,0.0,28.0,27.12,27.12,1.0,790
1992-07-13,2.6356204406,2.6356204406,2.6356204406,2.6356204406,0,28.0,0.0,28.0,28.0,28.0,1.0,0
1992-07-14,2.470894163,2.470894163,2.470894163,2.470894163,101,26.25,0.0,26.25,26.25,26.25,1.0,20
1992-07-15,2.470894163,2.470894163,2.470894163,2.470894163,901,26.25,0.0,26.25,26.25,26.25,1.0,178
1992-07-16,2.470894163,2.470894163,2.470894163,2.470894163,0,26.25,0.0,26.25,26.25,26.25,1.0,0
1992-07-17,2.5527866553,2.5527866553,2.470894163,2.470894163,8100,27.12,0.0,27.12,26.25,26.25,1.0,1600
1992-07-20,2.5527866553,2.5527866553,2.5527866553,2.5527866553,0,27.12,0.0,27.12,27.12,27.12,1.0,0
1992-07-21,2.5527866553,2.5527866553,2.5527866553,2.5527866553,0,27.12,0.0,27.12,27.12,27.12,1.0,0
1992-07-22,2.6356204406,2.6356204406,2.6356204406,2.6356204406,2202,28.0,0.0,28.0,28.0,28.0,1.0,435
1992-07-23,2.4944264884,2.4944264884,2.4944264884,2.4944264884,299801,26.5,0.0,26.5,26.5,26.5,1.0,59220
1992-07-24,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-07-27,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-07-28,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-07-29,2.4944264884,2.4944264884,2.4944264884,2.4944264884,26502,26.5,0.0,26.5,26.5,26.5,1.0,5235
1992-07-30,2.470894163,2.470894163,2.470894163,2.470894163,1301,26.25,0.0,26.25,26.25,26.25,1.0,257
1992-07-31,2.4944264884,2.4944264884,2.4944264884,2.4944264884,50498,26.5,0.0,26.5,26.5,26.5,1.0,9975
1992-08-03,2.4944264884,2.4944264884,2.4944264884,2.4944264884,3300,26.5,0.0,26.5,26.5,26.5,1.0,652
1992-08-04,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-05,2.4944264884,2.4944264884,2.4944264884,2.4944264884,901,26.5,0.0,26.5,26.5,26.5,1.0,178
1992-08-06,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-07,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-10,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-11,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-12,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-13,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-14,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-17,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-18,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-19,2.5650234645,2.5650234645,2.5650234645,2.5650234645,2202,27.25,0.0,27.25,27.25,27.25,1.0,435
1992-08-20,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-08-21,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-08-24,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-08-25,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-08-26,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-08-27,2.4944264884,2.4944264884,2.4944264884,2.4944264884,101,26.5,0.0,26.5,26.5,26.5,1.0,20
1992-08-28,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-08-31,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-09-01,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-09-02,2.5650234645,2.5650234645,2.5650234645,2.5650234645,901,27.25,0.0,27.25,27.25,27.25,1.0,178
1992-09-03,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-04,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-08,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-09,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-10,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-11,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-14,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-15,2.5650234645,2.5650234645,2.5650234645,2.5650234645,0,27.25,0.0,27.25,27.25,27.25,1.0,0
1992-09-16,2.5292543299,2.5292543299,2.5292543299,2.5292543299,11400,26.87,0.0,26.87,26.87,26.87,1.0,2252
1992-09-17,2.4944264884,2.4944264884,2.4944264884,2.4944264884,101,26.5,0.0,26.5,26.5,26.5,1.0,20
1992-09-18,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
1992-09-21,2.4944264884,2.4944264884,2.4944264884,2.4944264884,0,26.5,0.0,26.5,26.5,26.5,1.0,0
