date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1993-10-25,5.1220754627,5.7623348956,4.8019457463,4.9620106045,84600,16.0,0.0,18.0,15.0,15.5,1.0,42300
1993-10-26,4.4017836008,4.9620106045,4.3217511717,4.3217511717,35400,13.75,0.0,15.5,13.5,13.5,1.0,17700
1993-10-27,4.4017836008,4.4017836008,4.4017836008,4.4017836008,0,13.75,0.0,13.75,13.75,13.75,1.0,0
1993-10-28,4.8819781754,4.8819781754,4.8819781754,4.8819781754,3400,15.25,0.0,15.25,15.25,15.25,1.0,1700
1993-10-29,4.8819781754,4.8819781754,4.8819781754,4.8819781754,0,15.25,0.0,15.25,15.25,15.25,1.0,0
1993-11-01,4.8819781754,4.8819781754,4.8819781754,4.8819781754,8000,15.25,0.0,15.25,15.25,15.25,1.0,4000
1993-11-02,4.6418808881,4.6418808881,4.6418808881,4.6418808881,5400,14.5,0.0,14.5,14.5,14.5,1.0,2700
1993-11-03,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-04,4.7219133172,4.7219133172,4.7219133172,4.7219133172,1400,14.75,0.0,14.75,14.75,14.75,1.0,700
1993-11-05,4.6418808881,4.6418808881,4.6418808881,4.6418808881,2400,14.5,0.0,14.5,14.5,14.5,1.0,1200
1993-11-08,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-09,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-10,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-11,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-12,4.6418808881,4.6418808881,4.6418808881,4.6418808881,0,14.5,0.0,14.5,14.5,14.5,1.0,0
1993-11-15,4.2417187426,4.600264025,4.2417187426,4.600264025,8600,13.25,0.0,14.37,13.25,14.37,1.0,4300
1993-11-16,4.3633680348,4.3633680348,4.3633680348,4.3633680348,5400,13.63,0.0,13.63,13.63,13.63,1.0,2700
1993-11-17,4.1616863135,4.1616863135,4.1616863135,4.1616863135,2400,13.0,0.0,13.0,13.0,13.0,1.0,1200
1993-11-18,4.1616863135,4.1616863135,4.1616863135,4.1616863135,0,13.0,0.0,13.0,13.0,13.0,1.0,0
1993-11-19,4.1616863135,4.1616863135,4.1616863135,4.1616863135,0,13.0,0.0,13.0,13.0,13.0,1.0,0
1993-11-22,4.1616863135,4.1616863135,4.1616863135,4.1616863135,0,13.0,0.0,13.0,13.0,13.0,1.0,0
1993-11-23,4.1616863135,4.1616863135,4.1616863135,4.1616863135,0,13.0,0.0,13.0,13.0,13.0,1.0,0
1993-11-24,4.3217511717,4.4818160299,4.2417187426,4.2417187426,27800,13.5,0.0,14.0,13.25,13.25,1.0,13900
1993-11-26,4.561848459,4.561848459,4.561848459,4.561848459,2000,14.25,0.0,14.25,14.25,14.25,1.0,1000
1993-11-29,4.561848459,4.561848459,4.561848459,4.561848459,0,14.25,0.0,14.25,14.25,14.25,1.0,0
