date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1992-03-17,2.3931374825,2.3931374825,2.3931374825,2.3931374825,1600,53.75,0.0,53.75,53.75,53.75,1.0,200
1992-03-18,2.3873494291,2.3873494291,2.3873494291,2.3873494291,4000,53.62,0.0,53.62,53.62,53.62,1.0,500
1992-03-19,2.4599227146,2.4599227146,2.398925536,2.398925536,30400,55.25,0.0,55.25,53.88,53.88,1.0,3800
1992-03-20,2.4710535866,2.4763964052,2.4487918426,2.4487918426,13600,55.5,0.0,55.62,55.0,55.0,1.0,1700
1992-03-23,2.4599227146,2.4599227146,2.4487918426,2.4487918426,11200,55.25,0.0,55.25,55.0,55.0,1.0,1400
1992-03-24,2.4376609706,2.4541346611,2.4376609706,2.4487918426,18400,54.75,0.0,55.12,54.75,55.0,1.0,2300
1992-03-25,2.4599227146,2.4599227146,2.4376609706,2.4376609706,11200,55.25,0.0,55.25,54.75,54.75,1.0,1400
1992-03-26,2.4879725121,2.4879725121,2.465710768,2.465710768,26400,55.88,0.0,55.88,55.38,55.38,1.0,3300
1992-03-27,2.5489696907,2.5601005627,2.4879725121,2.4933153306,24800,57.25,0.0,57.5,55.88,56.0,1.0,3100
1992-03-30,2.5601005627,2.5712314347,2.5489696907,2.5601005627,30400,57.5,0.0,57.75,57.25,57.5,1.0,3800
1992-03-31,2.6157549228,2.6157549228,2.5712314347,2.5712314347,9600,58.75,0.0,58.75,57.75,57.75,1.0,1200
1992-04-01,2.6099668693,2.6099668693,2.5877051253,2.6046240507,12000,58.62,0.0,58.62,58.12,58.5,1.0,1500
1992-04-02,2.6157549228,2.6268857948,2.5992812322,2.6099668693,20000,58.75,0.0,59.0,58.38,58.62,1.0,2500
1992-04-03,2.6046240507,2.6046240507,2.6046240507,2.6046240507,1600,58.5,0.0,58.5,58.5,58.5,1.0,200
1992-04-06,2.6157549228,2.6157549228,2.5934931787,2.6046240507,60800,58.75,0.0,58.75,58.25,58.5,1.0,7600
1992-04-07,2.5877051253,2.6157549228,2.5823623067,2.6157549228,32800,58.12,0.0,58.75,58.0,58.75,1.0,4100
1992-04-08,2.6157549228,2.6157549228,2.5877051253,2.5877051253,12800,58.75,0.0,58.75,58.12,58.12,1.0,1600
1992-04-09,2.6157549228,2.6268857948,2.6099668693,2.6157549228,5600,58.75,0.0,59.0,58.62,58.75,1.0,700
1992-04-10,2.6268857948,2.6380166668,2.6157549228,2.6268857948,10400,59.0,0.0,59.25,58.75,59.0,1.0,1300
1992-04-13,2.6544903574,2.6544903574,2.6268857948,2.6380166668,5600,59.62,0.0,59.62,59.0,59.25,1.0,700
1992-04-14,2.6714092828,2.6714092828,2.6660664642,2.6660664642,1600,60.0,0.0,60.0,59.88,59.88,1.0,200
1992-04-15,2.6602784108,2.6602784108,2.6602784108,2.6602784108,2400,59.75,0.0,59.75,59.75,59.75,1.0,300
1992-04-16,2.6714092828,2.6714092828,2.6602784108,2.6602784108,16800,60.0,0.0,60.0,59.75,59.75,1.0,2100
1992-04-20,2.6825401548,2.7159327709,2.6825401548,2.6936710268,48800,60.25,0.0,61.0,60.25,60.5,1.0,6100
1992-04-21,2.6936710268,2.7048018988,2.6936710268,2.6936710268,43200,60.5,0.0,60.75,60.5,60.5,1.0,5400
1992-04-22,2.6936710268,2.6936710268,2.6936710268,2.6936710268,13600,60.5,0.0,60.5,60.5,60.5,1.0,1700
1992-04-23,2.7105899523,2.7105899523,2.7105899523,2.7105899523,1600,60.88,0.0,60.88,60.88,60.88,1.0,200
1992-04-24,2.7604562589,2.7604562589,2.7270636429,2.7270636429,8000,62.0,0.0,62.0,61.25,61.25,1.0,1000
1992-04-27,2.7604562589,2.7604562589,2.7604562589,2.7604562589,2400,62.0,0.0,62.0,62.0,62.0,1.0,300
1992-04-28,2.7604562589,2.7604562589,2.7604562589,2.7604562589,0,62.0,0.0,62.0,62.0,62.0,1.0,0
1992-04-29,2.7880608215,2.7880608215,2.7715871309,2.7715871309,3200,62.62,0.0,62.62,62.25,62.25,1.0,400
1992-04-30,2.8103225655,2.8103225655,2.804979747,2.804979747,3200,63.12,0.0,63.12,63.0,63.0,1.0,400
