Date,Close,High,Low,Open,Volume,Adj Close,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2002-07-26,81.31,81.37,81.24,81.28,246200,61.49129238,61.53666782,61.43835436,61.46860465,246200,0,1
2002-07-29,81.04,81.22,81.04,81.22,40200,61.28710287,61.42322921,61.28710287,61.42322921,40200,0,1
2002-07-30,81.01,81.13,81,81.12,95300,61.26441515,61.35516604,61.25685257,61.34760346,95300,0,1
2002-07-31,81.26,81.31,81.15,81.17,38800,61.45347951,61.49129238,61.37029119,61.38541634,38800,0,1
2002-08-01,81.42,81.45,81.33,81.33,86800,61.5744807,61.59716842,61.50641753,61.50641753,86800,0,1
2002-08-02,81.58,81.64,81.4,81.46,83400,61.69548189,61.74085733,61.55935555,61.60473099,83400,0,1
2002-08-05,81.71,81.73,81.57,81.63,93100,61.79379535,61.8089205,61.68791931,61.73329476,93100,0,1
2002-08-06,81.51,81.61,81.45,81.55,58200,61.64254387,61.71816961,61.59716842,61.67279416,58200,0,1
2002-08-07,81.63,81.69,81.54,81.59,127000,61.73329476,61.7786702,61.66523159,61.70304446,127000,0,1
2002-08-08,81.51,81.62,81.47,81.61,111800,61.64254387,61.72573218,61.61229357,61.71816961,111800,0,1
2002-08-09,81.53,81.56,81.46,81.48,50900,61.65766901,61.68035674,61.60473099,61.61985614,50900,0,1
2002-08-12,81.52,81.57,81.47,81.51,52300,61.65010644,61.68791931,61.61229357,61.64254387,52300,0,1
2002-08-13,81.66,81.68,81.48,81.59,36200,61.75598248,61.77110763,61.61985614,61.70304446,36200,0,1
2002-08-14,81.48,81.71,81.46,81.69,108700,61.61985614,61.79379535,61.60473099,61.7786702,108700,0,1
2002-08-15,81.41,81.54,81.3,81.38,87700,61.56691812,61.66523159,61.4837298,61.5442304,87700,0,1
2002-08-16,81.36,81.55,81.31,81.54,274500,61.52910525,61.67279416,61.49129238,61.66523159,274500,0,1
2002-08-19,81.37,81.43,81.31,81.41,36000,61.53666782,61.58204327,61.49129238,61.56691812,36000,0,1
2002-08-20,81.56,81.57,81.46,81.51,51400,61.68035674,61.68791931,61.60473099,61.64254387,51400,0,1
2002-08-21,81.49,81.54,81.42,81.46,43100,61.62741872,61.66523159,61.5744807,61.60473099,43100,0,1
2002-08-22,81.4,81.5,81.38,81.5,47700,61.55935555,61.63498129,61.5442304,61.63498129,47700,0,1
2002-08-23,81.5,81.52,81.44,81.48,60900,61.63498129,61.65010644,61.58960584,61.61985614,60900,0,1
2002-08-26,81.49,81.55,81.45,81.49,49700,61.62741872,61.67279416,61.59716842,61.62741872,49700,0,1
2002-08-27,81.43,81.45,81.35,81.4,54700,61.58204327,61.59716842,61.52154268,61.55935555,54700,0,1
2002-08-28,81.49,81.53,81.46,81.51,50600,61.62741872,61.65766901,61.60473099,61.64254387,50600,0,1
2002-08-29,81.58,81.64,81.55,81.64,53700,61.69548189,61.74085733,61.67279416,61.74085733,53700,0,1
2002-08-30,81.61,81.63,81.52,81.63,143800,61.71816961,61.73329476,61.65010644,61.73329476,143800,0,1
2002-09-03,81.67,81.78,81.61,81.62,83000,61.86382479,61.94714818,61.81837567,61.82595053,83000,0.1326,1
2002-09-04,81.64,81.73,81.6,81.67,49500,61.84110023,61.90927391,61.81080082,61.86382479,49500,0,1
2002-09-05,81.73,81.73,81.64,81.69,49000,61.90927391,61.90927391,61.84110023,61.8789745,49000,0,1
2002-09-06,81.57,81.61,81.53,81.55,33700,61.78807626,61.81837567,61.75777685,61.77292656,33700,0,1
2002-09-09,81.46,81.57,81.45,81.52,65200,61.70475288,61.78807626,61.69717803,61.750202,65200,0,1
2002-09-10,81.51,81.54,81.42,81.44,51000,61.74262714,61.7653517,61.67445347,61.68960317,51000,0,1
2002-09-11,81.46,81.46,81.36,81.4,24700,61.70475288,61.70475288,61.62900435,61.65930376,24700,0,1
2002-09-12,81.52,81.55,81.46,81.48,50100,61.750202,61.77292656,61.70475288,61.71990258,50100,0,1
2002-09-13,81.58,81.59,81.52,81.55,95100,61.79565112,61.80322597,61.750202,61.77292656,95100,0,1
2002-09-16,81.55,81.61,81.54,81.61,39000,61.77292656,61.81837567,61.7653517,61.81837567,39000,0,1
2002-09-17,81.61,81.62,81.48,81.52,28800,61.81837567,61.82595053,61.71990258,61.750202,28800,0,1
2002-09-18,81.6,81.7,81.6,81.7,173700,61.81080082,61.88654935,61.81080082,61.88654935,173700,0,1
2002-09-19,81.77,81.77,81.66,81.76,191100,61.93957332,61.93957332,61.85624994,61.93199847,191100,0,1
