date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2010-10-15,3.8375051259,3.8375051259,3.5753153346,3.5753153346,1400,4.83,0.0,4.83,4.5,4.5,1.0,1400
2010-10-18,3.3766867049,3.3766867049,3.3766867049,3.3766867049,200,4.25,0.0,4.25,4.25,4.25,1.0,200
2010-10-19,3.7739439643,3.7739439643,3.3449061242,3.3766867049,2900,4.75,0.0,4.75,4.21,4.25,1.0,2900
2010-10-20,3.7739439643,3.7739439643,3.3766867049,3.3766867049,2800,4.75,0.0,4.75,4.25,4.25,1.0,2800
2010-10-21,3.3766867049,3.3766867049,3.3766867049,3.3766867049,1400,4.25,0.0,4.25,4.25,4.25,1.0,1400
2010-10-22,3.3766867049,3.3766867049,3.3766867049,3.3766867049,0,4.25,0.0,4.25,4.25,4.25,1.0,0
2010-10-25,3.3766867049,3.3766867049,3.1860032204,3.1860032204,2400,4.25,0.0,4.25,4.01,4.01,1.0,2400
2010-10-26,3.7342182384,3.7342182384,3.7342182384,3.7342182384,10700,4.7,0.0,4.7,4.7,4.7,1.0,10700
2010-10-27,3.4164124309,3.4164124309,3.4164124309,3.4164124309,200,4.3,0.0,4.3,4.3,4.3,1.0,200
2010-10-28,3.4164124309,3.4164124309,3.4164124309,3.4164124309,0,4.3,0.0,4.3,4.3,4.3,1.0,0
2010-10-29,3.8136696903,3.8136696903,3.8136696903,3.8136696903,100,4.8,0.0,4.8,4.8,4.8,1.0,100
2010-11-01,3.4243575761,3.7739439643,3.4243575761,3.7739439643,700,4.31,0.0,4.75,4.31,4.75,1.0,700
2010-11-02,3.7262730932,3.7262730932,3.4958638828,3.4958638828,5100,4.69,0.0,4.69,4.4,4.4,1.0,5100
2010-11-03,3.7342182384,3.7342182384,3.7342182384,3.7342182384,500,4.7,0.0,4.7,4.7,4.7,1.0,500
2010-11-04,3.7342182384,3.7342182384,3.7342182384,3.7342182384,0,4.7,0.0,4.7,4.7,4.7,1.0,0
2010-11-05,3.6944925125,3.6944925125,3.4243575761,3.4243575761,1900,4.65,0.0,4.65,4.31,4.31,1.0,1900
2010-11-08,3.5753153346,3.5753153346,3.5753153346,3.5753153346,700,4.5,0.0,4.5,4.5,4.5,1.0,700
2010-11-09,3.5753153346,3.5753153346,3.5753153346,3.5753153346,500,4.5,0.0,4.5,4.5,4.5,1.0,500
2010-11-10,3.4958638828,3.4958638828,3.4243575761,3.4561381568,3000,4.4,0.0,4.4,4.31,4.35,1.0,3000
2010-11-11,3.6547667865,3.6547667865,3.6547667865,3.6547667865,200,4.6,0.0,4.6,4.6,4.6,1.0,200
2010-11-12,3.6547667865,3.6547667865,3.6547667865,3.6547667865,0,4.6,0.0,4.6,4.6,4.6,1.0,0
2010-11-15,3.6150410606,4.0917497719,3.5753153346,3.5753153346,27100,4.55,0.0,5.15,4.5,4.5,1.0,27100
2010-11-16,3.6150410606,3.6150410606,3.6150410606,3.6150410606,0,4.55,0.0,4.55,4.55,4.55,1.0,0
2010-11-17,3.6150410606,3.6150410606,3.6150410606,3.6150410606,0,4.55,0.0,4.55,4.55,4.55,1.0,0
2010-11-18,3.6150410606,3.6150410606,3.6150410606,3.6150410606,200,4.55,0.0,4.55,4.55,4.55,1.0,200
2010-11-19,3.6547667865,3.6547667865,3.6547667865,3.6547667865,1300,4.6,0.0,4.6,4.6,4.6,1.0,1300
2010-11-22,3.6547667865,3.6547667865,3.6547667865,3.6547667865,0,4.6,0.0,4.6,4.6,4.6,1.0,0
2010-11-23,3.4561381568,3.4561381568,3.4561381568,3.4561381568,300,4.35,0.0,4.35,4.35,4.35,1.0,300
2010-11-24,3.4958638828,3.4958638828,3.4958638828,3.4958638828,200,4.4,0.0,4.4,4.4,4.4,1.0,200
2010-11-26,3.9249017229,3.9328468681,3.9249017229,3.9328468681,9800,4.94,0.0,4.95,4.94,4.95,1.0,9800
2010-11-29,3.503809028,3.503809028,3.503809028,3.503809028,800,4.41,0.0,4.41,4.41,4.41,1.0,800
2010-11-30,3.4958638828,3.7342182384,3.3766867049,3.7342182384,7400,4.4,0.0,4.7,4.25,4.7,1.0,7400
2010-12-01,3.8136696903,3.9725725941,3.8136696903,3.9725725941,1500,4.8,0.0,5.0,4.8,5.0,1.0,1500
2010-12-02,3.5355896087,3.5355896087,3.5355896087,3.5355896087,700,4.45,0.0,4.45,4.45,4.45,1.0,700
2010-12-03,3.5355896087,3.5355896087,3.5355896087,3.5355896087,500,4.45,0.0,4.45,4.45,4.45,1.0,500
2010-12-06,3.5355896087,3.5355896087,3.5355896087,3.5355896087,800,4.45,0.0,4.45,4.45,4.45,1.0,800
2010-12-07,3.4958638828,3.4958638828,3.1780580752,3.2177838012,18300,4.4,0.0,4.4,4.0,4.05,1.0,18300
2010-12-08,3.4561381568,3.4561381568,3.4164124309,3.4164124309,2100,4.35,0.0,4.35,4.3,4.3,1.0,2100
2010-12-09,3.4561381568,3.4561381568,3.4561381568,3.4561381568,0,4.35,0.0,4.35,4.35,4.35,1.0,0
2010-12-10,3.4561381568,3.4561381568,3.4561381568,3.4561381568,1500,4.35,0.0,4.35,4.35,4.35,1.0,1500
2010-12-13,3.4164124309,3.4243575761,3.2575095271,3.2575095271,1300,4.3,0.0,4.31,4.1,4.1,1.0,1300
2010-12-14,3.2575095271,3.6547667865,3.2575095271,3.6547667865,5100,4.1,0.0,4.6,4.1,4.6,1.0,5100
2010-12-15,3.2575095271,3.2575095271,3.2575095271,3.2575095271,0,4.1,0.0,4.1,4.1,4.1,1.0,0
2010-12-16,3.8136696903,3.8533954162,3.6547667865,3.6547667865,6800,4.8,0.0,4.85,4.6,4.6,1.0,6800
2010-12-17,3.7342182384,3.7342182384,3.7342182384,3.7342182384,800,4.7,0.0,4.7,4.7,4.7,1.0,800
2010-12-20,3.5991507702,3.7342182384,3.5753153346,3.7342182384,9200,4.53,0.0,4.7,4.5,4.7,1.0,9200
