date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1994-10-26,168.2997181707,177.3157745013,168.2997181707,168.2997181707,216900,14.0,0.0,14.75,14.0,14.0,1.0,3253500
1994-10-27,169.0210026772,174.3104223911,166.8571491578,169.862501268,39400,14.06,0.0,14.5,13.88,14.13,1.0,591000
1994-10-28,171.3050702809,180.3211266115,168.2997181707,174.3104223911,33100,14.25,0.0,15.0,14.0,14.5,1.0,496500
1994-10-31,168.2997181707,180.3211266115,168.2997181707,171.3050702809,13900,14.0,0.0,15.0,14.0,14.25,1.0,208500
1994-11-01,174.3104223911,174.3104223911,168.2997181707,168.2997181707,21800,14.5,0.0,14.5,14.0,14.0,1.0,327000
1994-11-02,174.3104223911,174.3104223911,168.2997181707,168.2997181707,10000,14.5,0.0,14.5,14.0,14.0,1.0,150000
1994-11-03,174.3104223911,180.3211266115,174.3104223911,174.3104223911,43600,14.5,0.0,15.0,14.5,14.5,1.0,654000
1994-11-04,174.3104223911,180.3211266115,174.3104223911,174.3104223911,6200,14.5,0.0,15.0,14.5,14.5,1.0,93000
1994-11-07,177.3157745013,180.3211266115,171.3050702809,174.3104223911,8500,14.75,0.0,15.0,14.25,14.5,1.0,127500
1994-11-08,171.3050702809,177.3157745013,171.3050702809,171.3050702809,5800,14.25,0.0,14.75,14.25,14.25,1.0,87000
1994-11-09,168.2997181707,177.3157745013,168.2997181707,171.3050702809,15000,14.0,0.0,14.75,14.0,14.25,1.0,225000
1994-11-10,168.2997181707,174.3104223911,168.2997181707,168.2997181707,6300,14.0,0.0,14.5,14.0,14.0,1.0,94500
1994-11-11,169.0210026772,174.3104223911,168.2997181707,174.3104223911,2300,14.06,0.0,14.5,14.0,14.5,1.0,34500
1994-11-14,168.2997181707,171.3050702809,168.2997181707,168.2997181707,10600,14.0,0.0,14.25,14.0,14.0,1.0,159000
1994-11-15,168.2997181707,168.2997181707,162.2890139503,168.2997181707,43300,14.0,0.0,14.0,13.5,14.0,1.0,649500
1994-11-16,162.2890139503,168.2997181707,162.2890139503,162.2890139503,3200,13.5,0.0,14.0,13.5,13.5,1.0,48000
1994-11-17,162.2890139503,168.2997181707,162.2890139503,162.2890139503,700,13.5,0.0,14.0,13.5,13.5,1.0,10500
1994-11-18,165.2943660605,168.2997181707,162.2890139503,162.2890139503,2400,13.75,0.0,14.0,13.5,13.5,1.0,36000
1994-11-21,166.8571491578,169.862501268,165.2943660605,168.2997181707,5700,13.88,0.0,14.13,13.75,14.0,1.0,85500
1994-11-22,165.2943660605,169.862501268,165.2943660605,169.862501268,1200,13.75,0.0,14.13,13.75,14.13,1.0,18000
1994-11-23,165.2943660605,169.862501268,165.2943660605,165.2943660605,3600,13.75,0.0,14.13,13.75,13.75,1.0,54000
1994-11-25,162.2890139503,168.2997181707,162.2890139503,168.2997181707,2200,13.5,0.0,14.0,13.5,14.0,1.0,33000
1994-11-28,159.2836618401,162.2890139503,159.2836618401,162.2890139503,600,13.25,0.0,13.5,13.25,13.5,1.0,9000
1994-11-29,159.2836618401,162.2890139503,159.2836618401,159.2836618401,600,13.25,0.0,13.5,13.25,13.25,1.0,9000
1994-11-30,159.2836618401,162.2890139503,159.2836618401,159.2836618401,500,13.25,0.0,13.5,13.25,13.25,1.0,7500
1994-12-01,161.5677294439,161.5677294439,159.2836618401,159.2836618401,700,13.44,0.0,13.44,13.25,13.25,1.0,10500
1994-12-02,160.0049463466,163.8517970476,159.2836618401,163.8517970476,700,13.31,0.0,13.63,13.25,13.63,1.0,10500
1994-12-05,162.2890139503,162.2890139503,159.2836618401,159.2836618401,200,13.5,0.0,13.5,13.25,13.25,1.0,3000
1994-12-06,159.2836618401,163.8517970476,159.2836618401,160.8464449374,1500,13.25,0.0,13.63,13.25,13.38,1.0,22500
1994-12-07,162.2890139503,163.8517970476,159.2836618401,159.2836618401,1400,13.5,0.0,13.63,13.25,13.25,1.0,21000
1994-12-08,138.2461970688,160.8464449374,138.2461970688,156.2783097299,6900,11.5,0.0,13.38,11.5,13.0,1.0,103500
1994-12-09,135.2408449586,139.8089801661,135.2408449586,136.8036280559,200,11.25,0.0,11.63,11.25,11.38,1.0,3000
1994-12-12,136.8036280559,142.8143322763,135.2408449586,142.8143322763,7800,11.38,0.0,11.88,11.25,11.88,1.0,117000
1994-12-13,135.2408449586,139.8089801661,135.2408449586,139.8089801661,400,11.25,0.0,11.63,11.25,11.63,1.0,6000
1994-12-14,135.2408449586,142.8143322763,135.2408449586,142.8143322763,4400,11.25,0.0,11.88,11.25,11.88,1.0,66000
1994-12-15,135.2408449586,138.2461970688,135.2408449586,135.2408449586,400,11.25,0.0,11.5,11.25,11.25,1.0,6000
1994-12-16,139.8089801661,142.8143322763,135.2408449586,142.8143322763,700,11.63,0.0,11.88,11.25,11.88,1.0,10500
1994-12-19,127.7875717253,135.2408449586,120.2140844077,135.2408449586,1600,10.63,0.0,11.25,10.0,11.25,1.0,24000
1994-12-20,126.224788628,132.2354928484,120.2140844077,127.7875717253,5900,10.5,0.0,11.0,10.0,10.63,1.0,88500
1994-12-21,130.7929238355,132.2354928484,123.2194365178,124.7822196151,31200,10.88,0.0,11.0,10.25,10.38,1.0,468000
1994-12-22,138.2461970688,144.2569012892,136.8036280559,138.2461970688,35200,11.5,0.0,12.0,11.38,11.5,1.0,528000
1994-12-23,138.2461970688,144.2569012892,138.2461970688,144.2569012892,11400,11.5,0.0,12.0,11.5,12.0,1.0,171000
1994-12-27,138.2461970688,139.8089801661,138.2461970688,138.2461970688,1200,11.5,0.0,11.63,11.5,11.5,1.0,18000
1994-12-28,132.2354928484,144.2569012892,132.2354928484,138.2461970688,1800,11.0,0.0,12.0,11.0,11.5,1.0,27000
1994-12-29,129.2301407382,136.8036280559,129.2301407382,132.2354928484,900,10.75,0.0,11.38,10.75,11.0,1.0,13500
1994-12-30,132.2354928484,139.8089801661,127.7875717253,129.2301407382,4700,11.0,0.0,11.63,10.63,10.75,1.0,70500
1995-01-03,129.2301407382,132.2354928484,126.224788628,132.2354928484,3100,10.75,0.0,11.0,10.5,11.0,1.0,46500
1995-01-04,129.2301407382,129.2301407382,123.2194365178,129.2301407382,3700,10.75,0.0,10.75,10.25,10.75,1.0,55500
1995-01-05,129.2301407382,129.2301407382,123.2194365178,124.7822196151,1500,10.75,0.0,10.75,10.25,10.38,1.0,22500
1995-01-06,123.2194365178,129.2301407382,123.2194365178,127.7875717253,700,10.25,0.0,10.75,10.25,10.63,1.0,10500
1995-01-09,129.2301407382,129.2301407382,123.2194365178,126.224788628,21700,10.75,0.0,10.75,10.25,10.5,1.0,325500
1995-01-10,132.2354928484,133.7982759457,126.224788628,129.2301407382,4200,11.0,0.0,11.13,10.5,10.75,1.0,63000
1995-01-11,144.2569012892,150.2676055096,135.2408449586,135.2408449586,6600,12.0,0.0,12.5,11.25,11.25,1.0,99000
