date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1997-04-15,3.9166425197,3.9166425197,3.4166456023,3.666644061,1785600,5.875,0.0,5.875,5.125,5.5,1.0,1190400
1997-04-16,3.708643802,4.1666409784,3.5833112414,3.9166425197,443700,5.563,0.0,6.25,5.375,5.875,1.0,295800
1997-04-17,3.8333097001,4.0833081588,3.7499768805,3.9166425197,252100,5.75,0.0,6.125,5.625,5.875,1.0,168067
1997-04-18,3.9999753392,4.0833081588,3.8333097001,3.8333097001,165900,6.0,0.0,6.125,5.75,5.75,1.0,110600
1997-04-21,3.9999753392,3.9999753392,3.9166425197,3.9166425197,77400,6.0,0.0,6.0,5.875,5.875,1.0,51600
1997-04-22,3.9166425197,3.9999753392,3.8333097001,3.9999753392,81600,5.875,0.0,6.0,5.75,6.0,1.0,54400
1997-04-23,4.4999722566,4.4999722566,3.9166425197,3.9999753392,180600,6.75,0.0,6.75,5.875,6.0,1.0,120400
1997-04-24,4.8333035349,4.999969174,4.4166394371,4.6666378958,281500,7.25,0.0,7.5,6.625,7.0,1.0,187667
1997-04-25,4.4999722566,4.9166363545,4.4166394371,4.9166363545,114100,6.75,0.0,7.375,6.625,7.375,1.0,76067
1997-04-28,4.3333066175,4.7086376368,4.3333066175,4.4999722566,76600,6.5,0.0,7.063,6.5,6.75,1.0,51067
1997-04-29,4.9166363545,4.9166363545,4.3333066175,4.4166394371,122200,7.375,0.0,7.375,6.5,6.625,1.0,81467
1997-04-30,5.0419689151,5.0833019936,4.7499707153,4.999969174,78400,7.563,0.0,7.625,7.125,7.5,1.0,52267
1997-05-01,5.1253017347,5.1666348132,4.999969174,4.999969174,33400,7.688,0.0,7.75,7.5,7.5,1.0,22267
1997-05-02,4.999969174,4.999969174,4.6666378958,4.999969174,70200,7.5,0.0,7.5,7.0,7.5,1.0,46800
1997-05-05,4.8333035349,4.999969174,4.8333035349,4.8333035349,12300,7.25,0.0,7.5,7.25,7.25,1.0,8200
1997-05-06,4.8333035349,4.9166363545,4.8333035349,4.8333035349,64600,7.25,0.0,7.375,7.25,7.25,1.0,43067
1997-05-07,4.9166363545,4.9166363545,4.6666378958,4.9166363545,37600,7.375,0.0,7.375,7.0,7.375,1.0,25067
1997-05-08,4.7499707153,4.9166363545,4.7499707153,4.7499707153,63600,7.125,0.0,7.375,7.125,7.125,1.0,42400
1997-05-09,4.8333035349,4.9166363545,4.7499707153,4.9166363545,35700,7.25,0.0,7.375,7.125,7.375,1.0,23800
1997-05-12,5.4166332719,5.6666317306,4.8333035349,4.999969174,289800,8.125,0.0,8.5,7.25,7.5,1.0,193200
1997-05-13,5.6666317306,5.6666317306,5.4166332719,5.4166332719,24900,8.5,0.0,8.5,8.125,8.125,1.0,16600
1997-05-14,5.4999660915,5.6666317306,5.4999660915,5.6666317306,207700,8.25,0.0,8.5,8.25,8.5,1.0,138467
1997-05-15,5.3333004523,5.4999660915,5.3333004523,5.3333004523,75100,8.0,0.0,8.25,8.0,8.0,1.0,50067
1997-05-16,5.4999660915,5.4999660915,4.999969174,5.3333004523,158200,8.25,0.0,8.25,7.5,8.0,1.0,105467
1997-05-19,5.4166332719,5.4999660915,5.2499676328,5.3333004523,60600,8.125,0.0,8.25,7.875,8.0,1.0,40400
1997-05-20,5.2499676328,5.4166332719,5.2499676328,5.4166332719,31900,7.875,0.0,8.125,7.875,8.125,1.0,21267
1997-05-21,5.1666348132,5.3333004523,4.7499707153,5.2499676328,146500,7.75,0.0,8.0,7.125,7.875,1.0,97667
1997-05-22,5.1666348132,5.2499676328,5.1666348132,5.1666348132,26800,7.75,0.0,7.875,7.75,7.75,1.0,17867
1997-05-23,5.1253017347,5.2499676328,5.0833019936,5.1666348132,42300,7.688,0.0,7.875,7.625,7.75,1.0,28200
1997-05-27,5.3333004523,5.4166332719,4.999969174,5.1666348132,156600,8.0,0.0,8.125,7.5,7.75,1.0,104400
1997-05-28,5.3333004523,5.4166332719,5.1666348132,5.2499676328,36900,8.0,0.0,8.125,7.75,7.875,1.0,24600
1997-05-29,5.3333004523,5.6666317306,5.2499676328,5.3333004523,105300,8.0,0.0,8.5,7.875,8.0,1.0,70200
1997-05-30,5.2499676328,5.3333004523,4.999969174,5.3333004523,127500,7.875,0.0,8.0,7.5,8.0,1.0,85000
1997-06-02,5.2499676328,5.2919673738,5.2499676328,5.2919673738,25900,7.875,0.0,7.938,7.875,7.938,1.0,17267
1997-06-03,5.4999660915,5.583298911,5.2499676328,5.2499676328,184000,8.25,0.0,8.375,7.875,7.875,1.0,122667
1997-06-04,5.3333004523,5.5419658325,5.3333004523,5.4166332719,47400,8.0,0.0,8.313,8.0,8.125,1.0,31600
1997-06-05,5.4586330129,5.4999660915,5.3333004523,5.3333004523,48000,8.188,0.0,8.25,8.0,8.0,1.0,32000
1997-06-06,5.3333004523,5.4999660915,5.3333004523,5.4999660915,29800,8.0,0.0,8.25,8.0,8.25,1.0,19867
1997-06-09,5.3333004523,5.4999660915,5.3333004523,5.3333004523,23100,8.0,0.0,8.25,8.0,8.0,1.0,15400
1997-06-10,5.3333004523,5.4166332719,5.3333004523,5.3333004523,14800,8.0,0.0,8.125,8.0,8.0,1.0,9867
1997-06-11,5.4166332719,5.4166332719,5.3333004523,5.3333004523,5400,8.125,0.0,8.125,8.0,8.0,1.0,3600
1997-06-12,5.7499645502,5.9999630089,5.3333004523,5.6666317306,213100,8.625,0.0,9.0,8.0,8.5,1.0,142067
1997-06-13,5.7499645502,5.9999630089,5.7499645502,5.9999630089,55000,8.625,0.0,9.0,8.625,9.0,1.0,36667
1997-06-16,5.7499645502,5.8332973697,5.7499645502,5.7499645502,8200,8.625,0.0,8.75,8.625,8.625,1.0,5467
1997-06-17,5.6666317306,5.8332973697,5.583298911,5.8332973697,83800,8.5,0.0,8.75,8.375,8.75,1.0,55867
1997-06-18,5.583298911,5.8332973697,5.4999660915,5.6666317306,67500,8.375,0.0,8.75,8.25,8.5,1.0,45000
1997-06-19,5.4999660915,5.7499645502,5.4166332719,5.7499645502,67500,8.25,0.0,8.625,8.125,8.625,1.0,45000
1997-06-20,5.4999660915,5.583298911,5.4166332719,5.4166332719,19200,8.25,0.0,8.375,8.125,8.125,1.0,12800
1997-06-23,5.4166332719,5.4999660915,5.4166332719,5.4166332719,61500,8.125,0.0,8.25,8.125,8.125,1.0,41000
1997-06-24,5.583298911,5.583298911,5.4166332719,5.4166332719,87900,8.375,0.0,8.375,8.125,8.125,1.0,58600
1997-06-25,5.3333004523,5.4166332719,5.0833019936,5.4166332719,44500,8.0,0.0,8.125,7.625,8.125,1.0,29667
1997-06-26,5.7919642912,5.7919642912,5.3333004523,5.3333004523,107200,8.688,0.0,8.688,8.0,8.0,1.0,71467
1997-06-27,5.7086314717,5.8332973697,5.583298911,5.8332973697,35200,8.563,0.0,8.75,8.375,8.75,1.0,23467
1997-06-30,5.583298911,5.8332973697,5.583298911,5.6666317306,42300,8.375,0.0,8.75,8.375,8.5,1.0,28200
1997-07-01,5.583298911,5.7499645502,5.583298911,5.7499645502,29700,8.375,0.0,8.625,8.375,8.625,1.0,19800
1997-07-02,5.4999660915,5.7499645502,5.3333004523,5.583298911,81300,8.25,0.0,8.625,8.0,8.375,1.0,54200
1997-07-03,5.3333004523,5.4999660915,5.3333004523,5.3333004523,11200,8.0,0.0,8.25,8.0,8.0,1.0,7467
1997-07-07,5.3333004523,5.4166332719,5.3333004523,5.3333004523,13200,8.0,0.0,8.125,8.0,8.0,1.0,8800
1997-07-08,5.6252986521,5.7499645502,5.3333004523,5.3333004523,144600,8.438,0.0,8.625,8.0,8.0,1.0,96400
1997-07-09,5.6666317306,5.7499645502,5.4999660915,5.6252986521,40500,8.5,0.0,8.625,8.25,8.438,1.0,27000
1997-07-10,5.4999660915,5.7499645502,5.4999660915,5.6252986521,32100,8.25,0.0,8.625,8.25,8.438,1.0,21400
1997-07-11,5.583298911,5.583298911,5.4999660915,5.583298911,24400,8.375,0.0,8.375,8.25,8.375,1.0,16267
1997-07-14,5.4999660915,5.4999660915,5.3333004523,5.3333004523,17700,8.25,0.0,8.25,8.0,8.0,1.0,11800
1997-07-15,5.4999660915,5.4999660915,5.4999660915,5.4999660915,57400,8.25,0.0,8.25,8.25,8.25,1.0,38267
1997-07-16,5.3333004523,5.4166332719,5.3333004523,5.3333004523,67600,8.0,0.0,8.125,8.0,8.0,1.0,45067
1997-07-17,5.0833019936,5.4166332719,5.0833019936,5.3333004523,39400,7.625,0.0,8.125,7.625,8.0,1.0,26267
1997-07-18,5.3333004523,5.3333004523,5.0833019936,5.1666348132,83700,8.0,0.0,8.0,7.625,7.75,1.0,55800
1997-07-21,5.0833019936,5.2499676328,5.0833019936,5.1666348132,12700,7.625,0.0,7.875,7.625,7.75,1.0,8467
1997-07-22,5.3333004523,5.3753001934,5.0833019936,5.1666348132,179500,8.0,0.0,8.063,7.625,7.75,1.0,119667
1997-07-23,5.2499676328,5.2499676328,5.2499676328,5.2499676328,17200,7.875,0.0,7.875,7.875,7.875,1.0,11467
1997-07-24,5.2499676328,5.3333004523,5.2499676328,5.2499676328,34500,7.875,0.0,8.0,7.875,7.875,1.0,23000
1997-07-25,5.2499676328,5.3333004523,5.0833019936,5.2499676328,42700,7.875,0.0,8.0,7.625,7.875,1.0,28467
1997-07-28,5.1666348132,5.1666348132,5.1666348132,5.1666348132,46000,7.75,0.0,7.75,7.75,7.75,1.0,30667
1997-07-29,5.3333004523,5.4166332719,5.1666348132,5.1666348132,5200,8.0,0.0,8.125,7.75,7.75,1.0,3467
1997-07-30,5.2499676328,5.4166332719,5.1666348132,5.1666348132,69000,7.875,0.0,8.125,7.75,7.75,1.0,46000
1997-07-31,5.4586330129,5.6666317306,5.2919673738,5.4166332719,101400,8.188,0.0,8.5,7.938,8.125,1.0,67600
1997-08-01,5.3959667326,5.4586330129,5.3333004523,5.4586330129,24000,8.094,0.0,8.188,8.0,8.188,1.0,16000
1997-08-04,5.1666348132,5.3753001934,5.1666348132,5.2499676328,117400,7.75,0.0,8.063,7.75,7.875,1.0,78267
1997-08-05,5.2499676328,5.3333004523,5.1666348132,5.3333004523,34900,7.875,0.0,8.0,7.75,8.0,1.0,23267
1997-08-06,5.2499676328,5.3333004523,5.0833019936,5.3333004523,47200,7.875,0.0,8.0,7.625,8.0,1.0,31467
1997-08-07,5.1666348132,5.3126339131,5.0833019936,5.1666348132,31900,7.75,0.0,7.969,7.625,7.75,1.0,21267
1997-08-08,5.2919673738,5.2919673738,5.0833019936,5.1666348132,56200,7.938,0.0,7.938,7.625,7.75,1.0,37467
1997-08-11,5.0833019936,5.3333004523,5.0833019936,5.3333004523,6400,7.625,0.0,8.0,7.625,8.0,1.0,4267
1997-08-12,4.999969174,5.2919673738,4.999969174,5.0833019936,27300,7.5,0.0,7.938,7.5,7.625,1.0,18200
1997-08-13,4.999969174,5.1666348132,4.7919704564,5.1666348132,20100,7.5,0.0,7.75,7.188,7.75,1.0,13400
1997-08-14,4.4586391781,4.9166363545,4.4166394371,4.7919704564,86700,6.688,0.0,7.375,6.625,7.188,1.0,57800
1997-08-15,4.8333035349,4.8333035349,4.4586391781,4.6666378958,32700,7.25,0.0,7.25,6.688,7.0,1.0,21800
1997-08-18,4.8333035349,4.8333035349,4.7499707153,4.7499707153,9100,7.25,0.0,7.25,7.125,7.125,1.0,6067
1997-08-19,4.9166363545,4.9166363545,4.7499707153,4.9166363545,5500,7.375,0.0,7.375,7.125,7.375,1.0,3667
