date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1992-03-17,27.9725023578,28.1163346406,27.7596305793,27.9034628621,16750,48.62,0.0,48.87,48.25,48.5,1.0,13400
1992-03-18,28.6226242761,29.34178569,27.9725023578,27.9725023578,54000,49.75,0.0,51.0,48.62,48.62,1.0,43200
1992-03-19,28.547831489,28.7664565589,28.547831489,28.7664565589,19500,49.62,0.0,50.0,49.62,50.0,1.0,15600
1992-03-20,28.9102888416,29.8480753255,28.6916637718,28.6916637718,53250,50.25,0.0,51.88,49.87,49.87,1.0,42600
1992-03-23,29.9171148212,29.9171148212,28.9793283374,28.9793283374,35500,52.0,0.0,52.0,50.37,50.37,1.0,28400
1992-03-24,31.3554376491,32.7937604771,29.9171148212,29.9171148212,123000,54.5,0.0,57.0,52.0,52.0,1.0,98400
1992-03-25,32.5060959115,33.3690896083,32.0745990631,32.3622636287,105750,56.5,0.0,58.0,55.75,56.25,1.0,84600
1992-03-26,33.5129218911,33.8753792437,32.6499281943,32.7937604771,90250,58.25,0.0,58.88,56.75,57.0,1.0,72200
1992-03-27,31.1368125793,33.5877146781,30.9239408008,33.5129218911,101000,54.12,0.0,58.38,53.75,58.25,1.0,80800
1992-03-30,30.7110690222,31.7869344975,28.9102888416,31.1368125793,94750,53.38,0.0,55.25,50.25,54.12,1.0,75800
1992-03-31,31.0677730836,31.5683094277,30.4234044566,30.5672367394,46250,54.0,0.0,54.87,52.88,53.13,1.0,37000
1992-04-01,30.4924439524,30.9239408008,30.2047793868,30.780108518,45500,53.0,0.0,53.75,52.5,53.5,1.0,36400
1992-04-02,29.1979534072,30.2047793868,29.0541211244,30.2047793868,55000,50.75,0.0,52.5,50.5,52.5,1.0,44000
1992-04-03,27.828670075,28.9102888416,27.4719660137,28.4787919933,89750,48.37,0.0,50.25,47.75,49.5,1.0,71800
1992-04-06,29.5661640512,29.7732825384,28.4787919933,28.4787919933,13388,17.13,0.0,17.25,16.5,16.5,3.0,32133
1992-04-07,29.5661640512,32.5693821159,29.34178569,30.2047793868,87333,17.13,0.0,18.87,17.0,17.5,1.0,209600
1992-04-08,27.3914199353,29.5661640512,27.1843014481,28.0472951449,74083,15.87,0.0,17.13,15.75,16.25,1.0,177800
1992-04-09,29.5661640512,30.429157748,27.6157982965,27.6157982965,58333,17.13,0.0,17.63,16.0,16.0,1.0,140000
1992-04-10,31.0677730836,32.5693821159,30.6362762352,31.0677730836,59750,18.0,0.0,18.87,17.75,18.0,1.0,143400
1992-04-13,31.4992699319,31.9307667803,31.2748915708,31.2748915708,29500,18.25,0.0,18.5,18.12,18.12,1.0,70800
1992-04-14,30.6362762352,31.9307667803,30.6362762352,31.4992699319,54250,17.75,0.0,18.5,17.75,18.25,1.0,130200
1992-04-15,27.6157982965,31.2748915708,27.3914199353,31.0677730836,63583,16.0,0.0,18.12,15.87,18.0,1.0,152600
1992-04-16,25.889810903,28.4787919933,23.9394451483,27.6157982965,124250,15.0,0.0,16.5,13.87,16.0,1.0,298200
1992-04-20,21.3677239319,25.4583140546,21.3677239319,25.2339356934,93500,12.38,0.0,14.75,12.38,14.62,1.0,224400
