date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2012-01-27,11.09,11.47,10.75,11.0,747800,11.09,0.0,11.47,10.75,11.0,1.0,747800
2012-01-30,11.4,11.4,10.62,10.62,88900,11.4,0.0,11.4,10.62,10.62,1.0,88900
2012-01-31,10.96,11.15,10.05,11.1,110900,10.96,0.0,11.15,10.05,11.1,1.0,110900
2012-02-01,11.0,11.19,10.74,11.18,12100,11.0,0.0,11.19,10.74,11.18,1.0,12100
2012-02-02,11.0,11.2,10.65,11.2,62700,11.0,0.0,11.2,10.65,11.2,1.0,62700
2012-02-03,11.14,11.15,10.84,11.05,42300,11.14,0.0,11.15,10.84,11.05,1.0,42300
2012-02-06,10.94,11.18,10.661,11.18,46800,10.94,0.0,11.18,10.661,11.18,1.0,46800
2012-02-07,10.93,11.15,10.71,10.71,5000,10.93,0.0,11.15,10.71,10.71,1.0,5000
2012-02-08,11.0,11.18,10.88,10.9,15700,11.0,0.0,11.18,10.88,10.9,1.0,15700
2012-02-09,10.88,11.1099,10.8,11.01,13700,10.88,0.0,11.1099,10.8,11.01,1.0,13700
2012-02-10,10.9,10.9,10.36,10.88,48600,10.9,0.0,10.9,10.36,10.88,1.0,48600
2012-02-13,11.32,11.63,10.811,11.39,34800,11.32,0.0,11.63,10.811,11.39,1.0,34800
2012-02-14,11.39,11.57,10.63,11.27,29800,11.39,0.0,11.57,10.63,11.27,1.0,29800
2012-02-15,11.342,11.543,11.03,11.03,19500,11.342,0.0,11.543,11.03,11.03,1.0,19500
2012-02-16,11.58,11.75,11.29,11.75,9100,11.58,0.0,11.75,11.29,11.75,1.0,9100
2012-02-17,11.52,11.75,11.44,11.55,29900,11.52,0.0,11.75,11.44,11.55,1.0,29900
2012-02-21,11.01,11.61,10.78,11.59,4400,11.01,0.0,11.61,10.78,11.59,1.0,4400
2012-02-22,11.05,11.44,10.75,11.07,3900,11.05,0.0,11.44,10.75,11.07,1.0,3900
2012-02-23,11.3,11.85,10.95,11.23,10200,11.3,0.0,11.85,10.95,11.23,1.0,10200
2012-02-24,10.86,11.53,10.5,11.19,10500,10.86,0.0,11.53,10.5,11.19,1.0,10500
2012-02-27,11.5,11.82,10.73,11.82,2400,11.5,0.0,11.82,10.73,11.82,1.0,2400
2012-02-28,11.6,11.85,11.02,11.85,3300,11.6,0.0,11.85,11.02,11.85,1.0,3300
2012-02-29,11.6,11.7,11.03,11.5,3100,11.6,0.0,11.7,11.03,11.5,1.0,3100
2012-03-01,11.3,11.7,11.01,11.7,10500,11.3,0.0,11.7,11.01,11.7,1.0,10500
2012-03-02,11.7,11.7,11.03,11.6699,4800,11.7,0.0,11.7,11.03,11.6699,1.0,4800
2012-03-05,11.16,11.7,11.14,11.7,17300,11.16,0.0,11.7,11.14,11.7,1.0,17300
2012-03-06,11.1,11.16,10.78,11.16,7100,11.1,0.0,11.16,10.78,11.16,1.0,7100
2012-03-07,10.86,11.8,10.73,11.26,39500,10.86,0.0,11.8,10.73,11.26,1.0,39500
2012-03-08,10.82,11.99,10.8,10.94,30100,10.82,0.0,11.99,10.8,10.94,1.0,30100
2012-03-09,11.23,11.5,10.71,10.85,13000,11.23,0.0,11.5,10.71,10.85,1.0,13000
2012-03-12,11.36,11.39,10.9,11.39,13600,11.36,0.0,11.39,10.9,11.39,1.0,13600
2012-03-13,11.2,11.5,10.901,11.33,17800,11.2,0.0,11.5,10.901,11.33,1.0,17800
2012-03-14,11.0,11.4,10.91,10.97,16200,11.0,0.0,11.4,10.91,10.97,1.0,16200
2012-03-15,12.01,12.236,11.03,11.03,53700,12.01,0.0,12.236,11.03,11.03,1.0,53700
2012-03-16,11.05,12.21,10.95,12.21,51900,11.05,0.0,12.21,10.95,12.21,1.0,51900
2012-03-19,11.02,11.4,11.02,11.14,6500,11.02,0.0,11.4,11.02,11.14,1.0,6500
2012-03-20,11.07,11.37,10.95,10.99,9000,11.07,0.0,11.37,10.95,10.99,1.0,9000
2012-03-21,10.7,11.15,10.51,11.05,20100,10.7,0.0,11.15,10.51,11.05,1.0,20100
2012-03-22,10.64,10.75,10.06,10.71,23900,10.64,0.0,10.75,10.06,10.71,1.0,23900
2012-03-23,10.93,10.95,10.56,10.56,5900,10.93,0.0,10.95,10.56,10.56,1.0,5900
