date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1985-09-24,2.4015331813,2.4082112415,2.3886907579,2.4082112415,7500000,46.75,0.0,46.88,46.5,46.88,1.0,1875000
1985-09-25,2.4082112415,2.4082112415,2.3948551211,2.3948551211,6840000,46.88,0.0,46.88,46.62,46.62,1.0,1710000
1985-09-26,2.3178005805,2.3501634876,2.305471854,2.3434854274,26000,45.12,0.0,45.75,44.88,45.62,1.0,6500
1985-09-30,2.3373210641,2.3373210641,2.3116362173,2.3178005805,94000,45.5,0.0,45.5,45.0,45.12,1.0,23500
1985-10-01,2.3434854274,2.363005911,2.3178005805,2.3244786407,170800,45.62,0.0,46.0,45.12,45.25,1.0,42700
1985-10-02,2.3501634876,2.3691702743,2.3311567009,2.3311567009,122400,45.75,0.0,46.12,45.38,45.38,1.0,30600
1985-10-03,2.3568415478,2.3568415478,2.3373210641,2.3501634876,34400,45.88,0.0,45.88,45.5,45.75,1.0,8600
1985-10-04,2.363005911,2.363005911,2.3373210641,2.3434854274,149200,46.0,0.0,46.0,45.5,45.62,1.0,37300
1985-10-07,2.363005911,2.3758483344,2.3434854274,2.3501634876,336400,46.0,0.0,46.25,45.62,45.75,1.0,84100
1985-10-08,2.363005911,2.3825263946,2.3568415478,2.3568415478,24000,46.0,0.0,46.38,45.88,45.88,1.0,6000
1985-10-09,2.3758483344,2.3948551211,2.3568415478,2.3568415478,282000,46.25,0.0,46.62,45.88,45.88,1.0,70500
1985-10-10,2.3758483344,2.3886907579,2.363005911,2.363005911,36800,46.25,0.0,46.5,46.0,46.0,1.0,9200
1985-10-11,2.3758483344,2.3825263946,2.363005911,2.363005911,42400,46.25,0.0,46.38,46.0,46.0,1.0,10600
1985-10-14,2.3886907579,2.3886907579,2.363005911,2.3691702743,47600,46.5,0.0,46.5,46.0,46.12,1.0,11900
1985-10-15,2.3948551211,2.4082112415,2.3825263946,2.4015331813,87600,46.62,0.0,46.88,46.38,46.75,1.0,21900
1985-10-16,2.3825263946,2.3948551211,2.3758483344,2.3825263946,40400,46.38,0.0,46.62,46.25,46.38,1.0,10100
1985-10-17,2.3886907579,2.4015331813,2.3758483344,2.3758483344,38400,46.5,0.0,46.75,46.25,46.25,1.0,9600
1985-10-18,2.3825263946,2.3825263946,2.3758483344,2.3825263946,13600,46.38,0.0,46.38,46.25,46.38,1.0,3400
1985-10-21,2.3948551211,2.4015331813,2.3948551211,2.3948551211,94800,46.62,0.0,46.75,46.62,46.62,1.0,23700
1985-10-22,2.420539968,2.4272180282,2.3948551211,2.3948551211,47600,47.12,0.0,47.25,46.62,46.62,1.0,11900
1985-10-23,2.4400604516,2.452902875,2.4082112415,2.4082112415,56800,47.5,0.0,47.75,46.88,46.88,1.0,14200
1985-10-24,2.4082112415,2.4338960883,2.4015331813,2.4272180282,200000,46.88,0.0,47.38,46.75,47.25,1.0,50000
1985-10-25,2.452902875,2.4657452984,2.4143756047,2.420539968,136800,47.75,0.0,48.0,47.0,47.12,1.0,34200
1985-10-28,2.4400604516,2.452902875,2.4143756047,2.452902875,266800,47.5,0.0,47.75,47.0,47.75,1.0,66700
1985-10-29,2.4462248148,2.452902875,2.4143756047,2.4272180282,96800,47.62,0.0,47.75,47.0,47.25,1.0,24200
1985-10-30,2.4338960883,2.452902875,2.4272180282,2.4338960883,91600,47.38,0.0,47.75,47.25,47.38,1.0,22900
