date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
2003-11-20,14.2822095976,14.4862411633,14.1189843451,14.4454348501,189600,17.5,0.0,17.75,17.3,17.7,1.0,189600
2003-11-21,14.1516293956,14.5188862138,14.0373717188,14.5188862138,312100,17.34,0.0,17.79,17.2,17.79,1.0,312100
2003-11-24,14.3230159107,14.690272729,14.2005969713,14.2822095976,216000,17.55,0.0,18.0,17.4,17.5,1.0,216000
2003-11-25,14.0700167693,14.7474015674,14.0455329814,14.3638222239,300600,17.24,0.0,18.07,17.21,17.6,1.0,300600
2003-11-26,14.3230159107,14.4862411633,14.1189843451,14.2005969713,209100,17.55,0.0,17.75,17.3,17.4,1.0,209100
2003-11-28,14.8943042946,14.8943042946,14.1189843451,14.2822095976,79400,18.25,0.0,18.25,17.3,17.5,1.0,79400
2003-12-01,16.8856523757,17.4079731838,14.9187880825,14.9187880825,386100,20.69,0.0,21.33,18.28,18.28,1.0,386100
2003-12-02,18.1588093455,18.4281310122,16.7305883858,17.5222308606,318500,22.25,0.0,22.58,20.5,21.47,1.0,318500
2003-12-03,16.6897820726,18.5260661637,16.6897820726,18.4852598506,326000,20.45,0.0,22.7,20.45,22.65,1.0,326000
2003-12-04,16.1593000019,16.6897820726,15.3513350018,16.6897820726,271700,19.8,0.0,20.45,18.81,20.45,1.0,271700
2003-12-05,15.5716890927,16.0205585372,15.2860449008,16.0205585372,126500,19.08,0.0,19.63,18.73,19.63,1.0,126500
2003-12-08,15.2615611129,15.588011618,14.5923375774,15.5472053048,309700,18.7,0.0,19.1,17.88,19.05,1.0,309700
2003-12-09,14.6576276785,15.4900764664,14.5678537896,15.2615611129,268600,17.96,0.0,18.98,17.85,18.7,1.0,268600
2003-12-10,14.9351106078,15.0901745977,14.5923375774,15.0901745977,170300,18.3,0.0,18.49,17.88,18.49,1.0,170300
2003-12-11,14.8943042946,15.3594962644,14.6821114663,14.9351106078,92200,18.25,0.0,18.82,17.99,18.3,1.0,92200
2003-12-12,14.6086601027,15.2615611129,14.1189843451,15.0167232341,262500,17.9,0.0,18.7,17.3,18.4,1.0,262500
2003-12-15,14.2822095976,14.951433133,14.0055427945,14.8290141936,449500,17.5,0.0,18.32,17.161,18.17,1.0,449500
2003-12-16,13.8741464662,14.404628537,13.3681481834,14.404628537,491500,17.0,0.0,17.65,16.38,17.65,1.0,491500
2003-12-17,13.8333401531,14.0373717188,13.5885022743,13.8741464662,167600,16.95,0.0,17.2,16.65,17.0,1.0,167600
2003-12-18,13.8741464662,14.1761131835,13.6701149006,13.6701149006,53900,17.0,0.0,17.37,16.75,16.75,1.0,53900
2003-12-19,14.4617573754,14.469918638,13.8741464662,13.9149527794,174200,17.72,0.0,17.73,17.0,17.05,1.0,174200
2003-12-22,14.9759169209,15.1962710119,14.2903708602,14.2903708602,318500,18.35,0.0,18.62,17.51,17.51,1.0,318500
2003-12-23,15.1881097492,15.2615611129,14.7310790421,15.0983358603,160800,18.61,0.0,18.7,18.05,18.5,1.0,160800
2003-12-24,15.1799484866,15.5063989917,14.9840781835,15.3431737391,80300,18.6,0.0,19.0,18.36,18.8,1.0,80300
2003-12-26,14.9269493452,15.1799484866,14.8371754563,15.1799484866,10600,18.29,0.0,18.6,18.18,18.6,1.0,10600
2003-12-29,15.2697223755,15.2697223755,14.8943042946,15.2207547997,73400,18.71,0.0,18.71,18.25,18.65,1.0,73400
2003-12-30,15.3431737391,15.4247863654,15.1228196482,15.2207547997,36800,18.8,0.0,18.9,18.53,18.65,1.0,36800
2003-12-31,15.3513350018,15.4655926785,15.1799484866,15.3350124765,62800,18.81,0.0,18.95,18.6,18.79,1.0,62800
2004-01-02,15.7104305574,15.7104305574,15.3431737391,15.432947628,45200,19.25,0.0,19.25,18.8,18.91,1.0,45200
2004-01-05,15.783881921,15.8736558099,15.3839800523,15.4982377291,69200,19.34,0.0,19.45,18.85,18.99,1.0,69200
2004-01-06,15.3594962644,15.7920431836,14.951433133,15.7920431836,88700,18.82,0.0,19.35,18.32,19.35,1.0,88700
2004-01-07,15.3268512139,15.8736558099,15.302367426,15.6043341432,157100,18.78,0.0,19.45,18.75,19.12,1.0,157100
2004-01-08,14.9269493452,15.8328494968,14.820852931,15.5635278301,142300,18.29,0.0,19.4,18.16,19.07,1.0,142300
2004-01-09,13.9312753046,15.3268512139,13.6374698501,14.9351106078,123500,17.07,0.0,18.78,16.71,18.3,1.0,123500
2004-01-12,14.5188862138,14.6494664158,13.8823077289,13.9394365673,132800,17.79,0.0,17.95,17.01,17.08,1.0,132800
2004-01-13,13.8741464662,14.6494664158,13.7517275268,14.4535961128,380000,17.0,0.0,17.95,16.85,17.71,1.0,380000
2004-01-14,14.7310790421,14.7310790421,13.777027441,13.8741464662,481800,18.05,0.0,18.05,16.881,17.0,1.0,481800
2004-01-15,15.6369791937,15.8328494968,14.7392403047,14.7392403047,216900,19.16,0.0,19.4,18.06,18.06,1.0,216900
2004-01-16,15.914462123,15.9960747493,15.588011618,15.8328494968,283500,19.5,0.0,19.6,19.1,19.4,1.0,283500
2004-01-20,16.5673631332,16.7061045979,15.8818170725,15.9879134867,250800,20.3,0.0,20.47,19.46,19.59,1.0,250800
2004-01-21,16.1593000019,16.5673631332,15.8328494968,16.5673631332,190400,19.8,0.0,20.3,19.4,20.3,1.0,190400
2004-01-22,15.8002044463,16.5020730322,15.7512368705,16.1184936887,94000,19.36,0.0,20.22,19.3,19.75,1.0,94000
2004-01-23,16.1103324261,16.4857505069,15.7920431836,15.8083657089,46600,19.74,0.0,20.2,19.35,19.37,1.0,46600
2004-01-26,15.8736558099,16.3225252544,15.8736558099,16.2735576786,81400,19.45,0.0,20.0,19.45,19.94,1.0,81400
2004-01-27,15.6696242442,16.1837837897,15.1415905522,16.0776873756,143800,19.2,0.0,19.83,18.553,19.7,1.0,143800
2004-01-28,14.0863392946,15.8002044463,13.9965654057,15.7675593958,176300,17.26,0.0,19.36,17.15,19.32,1.0,176300
2004-01-29,13.988404143,14.5433700017,13.71173734,14.274048335,141400,17.14,0.0,17.82,16.801,17.49,1.0,141400
2004-01-30,14.690272729,14.8943042946,14.1597906582,14.1597906582,245100,18.0,0.0,18.25,17.35,17.35,1.0,245100
2004-02-02,14.6821114663,14.8290141936,14.6086601027,14.75556283,149300,17.99,0.0,18.17,17.9,18.08,1.0,149300
2004-02-03,14.690272729,14.7310790421,14.5760150522,14.6494664158,161200,18.0,0.0,18.05,17.86,17.95,1.0,161200
2004-02-04,14.4780799007,14.690272729,14.3066933855,14.690272729,26800,17.74,0.0,18.0,17.53,18.0,1.0,26800
2004-02-05,15.302367426,15.4003025775,14.3556609612,14.5270474764,262000,18.75,0.0,18.87,17.59,17.8,1.0,262000
2004-02-06,16.2572351534,16.3062027292,15.2615611129,15.4492701533,314700,19.92,0.0,19.98,18.7,18.93,1.0,314700
2004-02-09,16.6897820726,16.7305883858,15.9960747493,16.2817189413,117200,20.45,0.0,20.5,19.6,19.95,1.0,117200
2004-02-10,17.097845204,17.1386515171,16.5836856585,16.5836856585,146400,20.95,0.0,21.0,20.32,20.32,1.0,146400
