date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
1986-07-09,177604.25104989,180658.623565831,177604.25104989,179406.831551101,0,35.47,0.0,36.08,35.47,35.83,1.0,0
1986-07-10,176352.45903516,178205.11121696,175150.738701019,178205.11121696,0,35.22,0.0,35.59,34.98,35.59,1.0,0
1986-07-11,174549.878533948,179406.831551101,173898.946686289,175150.738701019,0,34.86,0.0,35.83,34.73,34.98,1.0,0
1986-07-14,169642.853836207,174549.878533948,169642.853836207,174549.878533948,0,33.88,0.0,34.86,33.88,34.86,1.0,0
1986-07-15,162332.388470184,169642.853836207,161130.668136043,169642.853836207,0,32.42,0.0,33.88,32.18,33.88,1.0,0
1986-07-16,164134.968971395,164134.968971395,161130.668136043,162332.388470184,0,32.78,0.0,32.78,32.18,32.42,1.0,0
1986-07-17,161130.668136043,165386.760986125,161130.668136043,162933.248637254,0,32.18,0.0,33.03,32.18,32.54,1.0,0
1986-07-18,158076.295620102,161731.528303113,157425.363772442,161731.528303113,0,31.57,0.0,32.3,31.44,32.3,1.0,0
1986-07-21,155021.923104161,158677.155787172,155021.923104161,158076.295620102,0,30.96,0.0,31.69,30.96,31.57,1.0,0
1986-07-22,161130.668136043,161130.668136043,154370.991256501,155021.923104161,0,32.18,0.0,32.18,30.83,30.96,1.0,0
1986-07-23,158677.155787172,161130.668136043,158677.155787172,160479.736288383,0,31.69,0.0,32.18,31.69,32.05,1.0,0
1986-07-24,160479.736288383,164134.968971395,158677.155787172,159878.876121313,0,32.05,0.0,32.78,31.69,31.93,1.0,0
1986-07-25,160479.736288383,161731.528303113,159278.015954243,160479.736288383,0,32.05,0.0,32.3,31.81,32.05,1.0,0
1986-07-28,159278.015954243,161130.668136043,159278.015954243,159278.015954243,0,31.81,0.0,32.18,31.81,31.81,1.0,0
1986-07-29,160479.736288383,160479.736288383,159278.015954243,160479.736288383,0,32.05,0.0,32.05,31.81,32.05,1.0,0
1986-07-30,161130.668136043,161130.668136043,159278.015954243,160479.736288383,0,32.18,0.0,32.18,31.81,32.05,1.0,0
1986-07-31,159878.876121313,161130.668136043,159278.015954243,159878.876121313,0,31.93,0.0,32.18,31.81,31.93,1.0,0
1986-08-01,159878.876121313,160479.736288383,158677.155787172,159878.876121313,0,31.93,0.0,32.05,31.69,31.93,1.0,0
1986-08-04,157425.363772442,159878.876121313,156824.503605372,159878.876121313,0,31.44,0.0,31.93,31.32,31.93,1.0,0
1986-08-05,151366.690421149,158677.155787172,148913.178072278,157425.363772442,0,30.23,0.0,31.69,29.74,31.44,1.0,0
1986-08-06,149514.038239349,151366.690421149,148312.317905208,149514.038239349,0,29.86,0.0,30.23,29.62,29.86,1.0,0
1986-08-07,148312.317905208,148913.178072278,148312.317905208,148312.317905208,0,29.62,0.0,29.74,29.62,29.62,1.0,0
1986-08-08,148913.178072278,148913.178072278,147661.386057548,148913.178072278,0,29.74,0.0,29.74,29.49,29.74,1.0,0
1986-08-11,153169.27092236,153169.27092236,148913.178072278,148913.178072278,0,30.59,0.0,30.59,29.74,29.74,1.0,0
